DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Mar-2024,Rank_Mar-2024
3store,3store,,X_Single,Y_auto,3store,RDF,C,SPARQL,Shared-Everything,Southampton University,GB,2003,2006,"Academic,Open Source",GPL v2,-,Y,,
4store,4store,4store,Normal,Y_auto,4store,RDF,C,SPARQL,,,GB,2009,,Open Source,GPL v3,4store/4store,Y,0.49,267
abhot,abhot,,X_Single,Y_auto,abhot,,Java,,,,CN,2017,2017,"Academic,Open Source",Apache v2,quqiangsheng/abhot,Y,,
accumulo,accumulo,accumulo,Normal,Y_auto,Accumulo,Wide column,Java,"Custom API,Command-line / Shell",Shared-Disk,US National Security Agency,US,2008,2022,Open Source,Apache v2,apache/accumulo,Y,3.78,92
acebase,acebase,acebase,Normal,Y_auto,AceBase,Document,TypeScript,Custom API,"Shared-Everything,Embedded",Ewout Stortenbeker,NL,2018,,"Hobby,Open Source",MIT,appy-one/acebase,Y,0.01,388
acedb,acedb,,X_Single,Y_auto,AceDB,,C,,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989,2018,"Academic,Open Source","GPL v2,LGPL v2",richarddurbin/acedb,Y,,
actordb,actordb,actordb,Normal,Y_auto,ActorDB,Relational,Erlang,"Custom API,SQL",Shared-Nothing,Biokoda,SI,2014,,"Commercial,Open Source",Mozilla Public License 2.0,biokoda/actordb,Y,0.0,397
aerospike,aerospike,aerospike,Normal,Y_auto,Aerospike,Key-value,C,Custom API,Shared-Nothing,"Aerospike, Inc.",US,2009#dbdbio>|<dbengines#2012,2023,"Commercial,Open Source",AGPL v3 and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,aerospike/aerospike-server,Y,6.51,59
agatedb,agatedb,,X_Single,Y_auto,AgateDB,Key-value,Rust,Custom API,Embedded,PingCAP,CN,2019,,"Industrial Research,Open Source",Apache v2,tikv/agatedb,Y,,
agedb,agedb,,X_Single,Y_auto,AGEDB,Graph,C,"SQL,Cypher",,Apache,CA,2019,,"Commercial,Open Source",Apache v2,apache/age,Y,,
agensgraph,agensgraph,agensgraph,Normal,Y_auto,AgensGraph,"Relational,Key-value,Document,Graph",C,"SQL,Cypher",Shared-Everything,Bitnine Global Inc.,US,2013#dbdbio>|<dbengines#2016,2018,"Commercial,Open Source",Apache v2,bitnine-oss/agensgraph,Y,0.08,361
akdb,akdb,,X_Single,Y_auto,AKDB,Relational,C,SQL,Shared-Everything,University of Zagreb,HR,2009,,"Academic,Educational,Open Source",,minovakovi/akdb,Y,,
akumuli,akumuli,,X_Single,Y_auto,Akumuli,,C++,Custom API,,,RU,2013,,Open Source,Apache v2,akumuli/Akumuli,Y,,
akutan,akutan,,X_Single,Y_auto,Akutan,RDF,Go,Custom API,Shared-Nothing,eBay,US,2019,,"Industrial Research,Open Source",Apache v2,eBay/akutan,Y,,
alasql,alasql,alasql,Normal,Y_auto,AlaSQL,"Relational,Document",JavaScript,SQL,,Andrey Gershun & Mathias R. Wulff,RU,2014,,Open Source,MIT,AlaSQL/alasql,Y,0.53,258
alchemydb,alchemydb,,X_Single,Y_auto,AlchemyDB,Relational,C,SQL,Shared-Everything,Russell Sullivan,US,2010,2012,"Commercial,Open Source",AGPL v3,JakSprats/Alchemy-Database,Y,,
alenka,alenka,,X_Single,Y_auto,Alenka,Relational,C,SQL,,,US,2012,2017,Open Source,Apache v2,antonmks/Alenka,Y,,
altibase,altibase,altibase,Normal,Y_auto,Altibase,Relational,"C,C++",SQL,Shared-Nothing,Altibase Corp.,KR,1999,2023,"Commercial,Open Source",AGPL v3,ALTIBASE/altibase,Y,1.21,182
angstromdb,angstromdb,,X_Single,Y_auto,AngstromDB,Key-value,C,,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",Apache v2,Amaury/AngstromDB,Y,,
annadb,annadb,,X_Single,Y_auto,AnnaDB,Document,Rust,Custom API,Shared-Everything,Roman Right,DE,2021,,"Hobby,Open Source",Apache v2,Anna-Team/AnnaDB,Y,,
anndb,anndb,,X_Single,Y_auto,AnnDB,Vector,Go,HTTP / REST,Shared-Nothing,Marek Galovic,CZ,2020,,"Commercial,Open Source",Apache v2,marekgalovic/anndb,Y,,
antdb,antdb,antdb,Normal,Y_auto,AntDB,"Object Oriented,Relational",C,SQL,,AsiaInfo Technologies Limited,CN,,,"Commercial,Open Source",Apache v2,ADBSQL/AntDB,Y#dbdbio>|<dbengines#N,0.3,300
antidote,antidote,,X_Single,Y_auto,Antidote,Key-value,Erlang,SQL,,SyncFree European Project,FR,2015,,"Academic,Open Source",Apache v2,AntidoteDB/antidote,Y,,
aodbm,aodbm,,X_Single,Y_auto,AODBM,,C,,,Daniel Waterworth,GB,2011,2011,Open Source,LGPL v3,DanielWaterworth/AODBM,Y,,
