DBMS_uriform,X_DBMS_uriform,Y_DBMS_uriform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
noisepage,noisepage,,X_Single,Y_auto,NoisePage,Relational,C++,SQL,Shared-Everything,Carnegie Mellon University,US,2018,,"Academic,Open Source",MIT,cmu-db/noisepage,Y,,
noms,noms,,X_Single,Y_auto,Noms,Document,Go,,,Attic Labs,US,2015,,Open Source,Apache v2,attic-labs/noms,Y,,
nosdb,nosdb,nosdb,Normal,Y_auto,NosDB,Document,C#,"Custom API,HTTP / REST",,Alachisoft,US,2016,,"Commercial,Open Source",Apache v2; Professional and Enterprise Versions available,Alachisoft/NosDB,Y,0.22,348
nudb,nudb,,X_Single,Y_auto,NuDB,Key-value,C++,Custom API,Embedded,Vinnie Falco,US,2016,,Open Source,Boost Software License,vinniefalco/NuDB,Y,,
nutsdb,nutsdb,,X_Single,Y_auto,NutsDB,Key-value,Go,Custom API,,Jiajun Xu,CN,2018,,Open Source,Apache v2,xujiajun/nutsdb,Y,,
objectbox,objectbox,objectbox,Normal,Y_auto,ObjectBox,Object oriented,"C,C++,Go,Java,Python,Swift",Custom API,Embedded,ObjectBox Limited,DE,2016#dbdbio>|<dbengines#2017,,"Commercial,Open Source",Apache v2,objectbox/objectbox-java,Y,1.57,170
oceanbase,oceanbase,oceanbase,Normal,Y_auto,OceanBase,Relational,C++,SQL,Shared-Nothing,OceanBase,CN,2010#dbdbio>|<dbengines#2011,,"Commercial,Open Source",Mulan PubL v2; Commercial license available,oceanbase/oceanbase,Y,1.98,145
olegdb,olegdb,,X_Single,Y_auto,OlegDB,Key-value,"C,Go",HTTP / REST,Shared-Everything,"Quinlan Pfiffer, Kyle Terry",US,2014,,"Commercial,Open Source",MIT,infoforcefeed/OlegDB,Y,,
openmldb,openmldb,,X_Single,Y_auto,OpenMLDB,Relational,C++,"SQL,HTTP / REST",,4Paradigm,CN,2017,,Open Source,Apache v2,4paradigm/OpenMLDB,Y,,
opentsdb,opentsdb,opentsdb,Normal,Y_auto,OpenTSDB,Key-value#dbdbio>|<dbengines#Time Series,Java,"Custom API,HTTP / REST,Command-line / Shell",Shared-Disk,currently maintained by Yahoo and other contributors,US,2010#dbdbio>|<dbengines#2011,,Open Source,LGPL v2,OpenTSDB/opentsdb,Y,2.44,128
orbitdb,orbitdb,,X_Single,Y_auto,OrbitDB,"Key-value,Document",JavaScript,Custom API,Shared-Nothing,,DE,2015,,Open Source,MIT,orbitdb/orbit-db,Y,,
orientdb,orientdb,orientdb,Normal,Y_auto,OrientDB,"Document,Key-value,Graph,Object oriented",Java,"SQL,Stored Procedures,GraphQL,Gremlin,HTTP / REST",Shared-Nothing,OrientDB LTD; CallidusCloud; SAP,GB,2010,2021,"Commercial,Open Source",Apache v2,orientechnologies/orientdb,Y,4.54,85
origodb,origodb,origodb,Normal,Y_auto,OrigoDB,"Document,Relational,Key-value,Graph,Object oriented",C#,Custom API,Shared-Nothing,Robert Friberg et al,SE,2011#dbdbio>|<dbengines#2009,,"Commercial,Open Source",MIT,DevrexLabs/OrigoDB,Y,0.25,337
paldb,paldb,,X_Single,Y_auto,PalDB,Key-value,Java,Custom API,,,US,2015,,Open Source,Apache v2,linkedin/PalDB,Y,,
paper,paper,,X_Single,Y_auto,Paper,"Key-value,Object oriented",Java,Custom API,Embedded,,SE,2015,,Open Source,Apache v2,pilgr/Paper,Y,,
pearldb,pearldb,,X_Single,Y_auto,PearlDB,Key-value,C,HTTP / REST,,,NZ,2015,,Open Source,BSD,willemt/pearldb,Y,,
pebble,pebble,,X_Single,Y_auto,Pebble,Key-value,Go,Custom API,Embedded,,US,2018,,Open Source,BSD,petermattis/pebble,Y,,
percona-server,percona-server,percona-server-for-mysql,Multiple:Normal,Y_ConflictResolved,Percona Server for MySQL,Relational,,SQL,Shared-Everything,Percona,US,2006#dbdbio>|<dbengines#2008,2022,"Commercial,Open Source",GPL version 2,percona/percona-server,Y,3.17,104
photondb,photondb,,X_Single,Y_auto,PhotonDB,Key-value,Rust,,,,CN,2022,,"Hobby,Open Source",Apache v2,photondb/photondb,Y,,
pickledb,pickledb,,X_Single,Y_auto,pickleDB,Document,Python,Custom API,Embedded,,US,2011,,"Hobby,Open Source",BSD,patx/pickledb,Y,,
picodb,picodb,,X_Single,Y_auto,PicoDB,Document,JavaScript,,Embedded,,FR,2016,,Open Source,MIT,jclo/picodb,Y,,
pika,pika,,X_Single,Y_auto,Pika,Key-value,C++,Custom API,Shared-Everything,,CN,2014,,Open Source,MIT,Qihoo360/pika,Y,,
piladb,piladb,,X_Single,Y_auto,piladb,Object oriented,Go,HTTP / REST,,,ES,2015,,Open Source,MIT,fern4lvarez/piladb,Y,,
pilosa,pilosa,,X_Single,Y_auto,Pilosa,Array,Go,"Custom API,HTTP / REST",Shared-Everything,,US,2017,,"Commercial,Open Source",Apache v2,pilosa/pilosa,Y,,
pincaster,pincaster,,X_Single,Y_auto,Pincaster,Document,C,HTTP / REST,,,FR,2010,,Open Source,MIT,jedisct1/Pincaster,Y,,
pinot,pinot,apache-pinot,Fuzzy:Normal,Y,Apache Pinot,Relational,Java,SQL,Shared-Nothing,LinkedIn#dbdbio>|<dbengines#Apache Software Foundation and contributors,US,2014#dbdbio>|<dbengines#2015,2022,Open Source,Apache v2.0,apache/pinot,Y,0.67,254
pinusdb,pinusdb,,X_Single,Y_auto,PinusDB,Relational,C++,SQL,,ChangSha JuSong Soft Inc.,CN,2019,,Open Source,GPL v3,pinusdb/pinusdb,Y,,
pipelinedb,pipelinedb,pipelinedb,Normal,Y_auto,PipelineDB,"Relational,Object oriented",C,,,,US,2015,,"Commercial,Open Source","BSD, GPL v3",pipelinedb/pipelinedb,Y,0.42,291
pogreb,pogreb,,X_Single,Y_auto,Pogreb,Key-value,Go,Custom API,Embedded,Artem Krylysov,US,2018,,Open Source,Apache v2,akrylysov/pogreb,Y,,
polypheny,polypheny,,X_Single,Y_auto,Polypheny,"Relational,Document,Graph",Java,"SQL,Cypher,HTTP / REST",Shared-Everything,"Polypheny GmbH, University of Basel",CH,2017,,"Academic,Commercial,Open Source",Apache v2,polypheny/Polypheny-DB,Y,,
pouchdb,pouchdb,pouchdb,Normal,Y_auto,PouchDB,Document,JavaScript,Custom API,Embedded,Apache Software Foundation,US,2010#dbdbio>|<dbengines#2012,2019,Open Source,Apache v2,pouchdb/pouchdb,Y,3.52,100
pranadb,pranadb,,X_Single,Y_auto,PranaDB,Relational,Go,SQL,,Cash App,GB,2022,,Open Source,,cashapp/pranadb,Y,,
prestodb,prestodb,,X_Single,Y_auto,PrestoDB,"Wide column,Relational,Key-value,Document",Java,SQL,Shared-Nothing,Facebook,US,2013,,Open Source,Apache v2,prestodb/presto,Y,,
prometheus,prometheus,prometheus,Normal,Y_auto,Prometheus,Key-value#dbdbio>|<dbengines#Time Series,Go,"HTTP / REST,PromQL",Shared-Disk,SoundCloud,DE,2012#dbdbio>|<dbengines#2015,,Open Source,Apache v2.0,prometheus/prometheus,Y,7.06,59
pumpkindb,pumpkindb,,X_Single,Y_auto,PumpkinDB,Key-value,Rust,,,Yurii Rashkovskii,CA,2017,,Open Source,Mozilla Public License,PumpkinDB/PumpkinDB,Y,,
pupdb,pupdb,,X_Single,Y_auto,PupDB,Key-value,Python,HTTP / REST,Shared-Everything,tuxmonk,IN,2019,,Open Source,MIT,tuxmonk/pupdb,Y,,
qikkdb,qikkdb,,X_Single,Y_auto,qikkDB,Relational,C++,SQL,,Instarea s.r.o.,SK,2019,,"Commercial,Open Source",Apache v2,qikkDB/qikkdb,Y,,
qserv,qserv,,X_Single,Y_auto,Qserv,Relational,C++,,,SLAC National Accelerator Laboratory,US,2011,,"Academic,Open Source",,lsst/qserv,Y,,
quadrable,quadrable,,X_Single,Y_auto,Quadrable,Key-value,C++,"Custom API,Command-line / Shell",Embedded,Doug Hoyte,CA,2020,,"Commercial,Open Source",BSD,hoytech/quadrable,Y,,
questdb,questdb,questdb,Normal,Y_auto,QuestDB,Relational#dbdbio>|<dbengines#Time Series,"C++,Java",SQL,"Shared-Nothing,Embedded",QuestDB Limited,GB,2014,,"Commercial,Open Source",Apache v2.0,questdb/questdb,Y,1.95,147
quickstep,quickstep,,X_Single,Y_auto,Quickstep,Relational,,,,University of Wisconsin,US,2013,2018,"Academic,Open Source",Apache v2,apache/incubator-retired-quickstep,Y,,
quokka,quokka,,X_Single,Y_auto,Quokka,Relational,,,,Ziheng Wang,US,2021,,"Hobby,Open Source",Apache v2,marsupialtail/quokka,Y,,
radondb,radondb,,X_Single,Y_auto,RadonDB,Relational,,,,Yunify Technologies Inc.,CN,2018,,"Commercial,Open Source",GPL v3,radondb/radon,Y,,
ragedb,ragedb,,X_Single,Y_auto,RageDB,Graph,,,,Max De Marzi,US,2021,,"Hobby,Open Source",Apache v2,ragedb/ragedb,Y,,
ravendb,ravendb,ravendb,Normal,Y_auto,RavenDB,"Key-value,Document#dbdbio>|<dbengines#Document",,,,Hibernating Rhinos,IL,2009#dbdbio>|<dbengines#2010,,"Commercial,Open Source",AGPL v3; commercial license available,ravendb/ravendb,Y,4.21,95
realm,realm,realm,Normal,Y_auto,Realm,Object oriented#dbdbio>|<dbengines#Document,,,,"Realm, acquired by MongoDB in May 2019",US,2011#dbdbio>|<dbengines#2014,,"Commercial,Open Source",Apache v2,realm/realm-core,Y,8.24,54
redb,redb,,X_Single,Y_auto,redb,Key-value,,,,Christopher Berner,US,2018,,"Hobby,Open Source",Apache v2,cberner/redb,Y,,
redcon,redcon,,X_Single,Y_auto,Redcon,Key-value,,,,Josh Baker,US,2016,,"Hobby,Open Source",MIT,tidwall/redcon,Y,,
redis,redis,redis,Normal,Y_auto,Redis,Key-value,,,,"Salvatore Sanfilippo#dbdbio>|<dbengines#Redis project core team, inspired by Salvatore Sanfilippo",IT,2009,2023,"Commercial,Open Source","BSD#dbdbio>|<dbengines#source-available extensions (modules), commercial licenses for Redis Enterprise",redis/redis,Y,173.83,6
redisql,redisql,,X_Single,Y_auto,RediSQL,Relational,,,,Red Beard Lab,IT,2016,,"Commercial,Open Source",AGPL v3,RedBeardLab/rediSQL,Y,,
redixdb,redixdb,,X_Single,Y_auto,RedixDB,Key-value,,,,Mohammed Al Ashaal,EG,2018,,"Hobby,Open Source",,alash3al/redix,Y,,
redstore,redstore,redstore,Normal,Y_auto,RedStore,RDF,,,,Nicholas Humfrey,GB,2009,,Open Source,GPL v3,njh/redstore,Y,0.37,309
reductstore,reductstore,,X_Single,Y_auto,ReductStore,Key-value,,,,,DE,2021,,"Commercial,Open Source",Mozilla Public License,reductstore/reductstore,Y,,
redwood,redwood,,X_Single,Y_auto,Redwood,Key-value,,,,Bryn Bellomy,US,2019,,"Hobby,Open Source",MIT,redwood/redwood,Y,,
refinedb,refinedb,,X_Single,Y_auto,RefineDB,Document,,,,Heyang Zhou,CN,2021,,"Hobby,Open Source",MIT,losfair/RefineDB,Y,,
rel,rel,,X_Single,Y_auto,Rel,Relational,,,,Dave Voorhis,GB,2004,,"Academic,Educational,Open Source",Apache v2,DaveVoorhis/Rel,Y,,
relaxo,relaxo,,X_Single,Y_auto,Relaxo,Document,,,,Samuel Williams,NZ,2012,,Open Source,MIT,ioquatix/relaxo,Y,,
rethinkdb,rethinkdb,rethinkdb,Normal,Y_auto,RethinkDB,Document,"Bash,C++,Java,JavaScript,Python",Custom API,Shared-Nothing,RethinkDB#dbdbio>|<dbengines#The Linux Foundation,US,2009,2020,Open Source,Apache v2,rethinkdb/rethinkdb,Y,3.85,96
riak,riak,,Fuzzy:X_Single,Y,Riak,Key-value,Erlang,,,Basho Technologies,US,2010,,"Commercial,Open Source",Apache v2,basho/riak,Y,,
risinglight,risinglight,,X_Single,Y_auto,RisingLight,Relational,Rust,SQL,Embedded,,US,2021,,"Educational,Open Source",Apache v2,risinglightdb/risinglight,Y,,
risingwave,risingwave,,X_Single,Y_auto,RisingWave,Relational,Rust,SQL,Shared-Everything,RisingWave Labs,US,2021,,"Commercial,Open Source",Apache v2,risingwavelabs/risingwave,Y,,
rocksdb,rocksdb,rocksdb,Normal,Y_auto,RocksDB,Key-value,"C,C++",Custom API,Embedded,"Facebook, Inc.",US,2012#dbdbio>|<dbengines#2013,2022,Open Source,Apache v2#dbdbio>|<dbengines#BSD,facebook/rocksdb,Y,4.47,91
roma,roma,,X_Single,Y_auto,ROMA,Key-value,Ruby,Custom API,Shared-Nothing,"Rakuten, Inc.",JP,2009,,"Commercial,Open Source",,roma/roma,Y,,
rondb,rondb,,X_Single,Y_auto,RonDB,Key-value,C,"Custom API,SQL",Shared-Nothing,Logical Clocks,SE,2020,,"Commercial,Open Source",GPL v2,logicalclocks/rondb,Y,,
rosedb,rosedb,,X_Single,Y_auto,RoseDB,Key-value,Go,Custom API,Shared-Everything,,CN,2020,,"Hobby,Open Source",MIT,roseduan/rosedb,Y,,
rqlite,rqlite,,X_Single,Y_auto,rqlite,Relational,Go,"SQL,HTTP / REST",Embedded,Philip O'Toole,US,2014,,Open Source,MIT,rqlite/rqlite,Y,,
rxdb,rxdb,,X_Single,Y_auto,RxDB,Document,JavaScript,"Custom API,GraphQL",,Daniel Van Meyer,DE,2016,,Open Source,Apache v2,pubkey/rxdb,Y,,
sapphiredb,sapphiredb,,X_Single,Y_auto,SapphireDb,Object oriented,C#,"Custom API,HTTP / REST",,Morris Janatzek,DE,2018,,"Hobby,Open Source",MIT,SapphireDb/SapphireDb,Y,,
scalaris,scalaris,scalaris,Normal,Y_auto,Scalaris,Key-value,Erlang,,,Zuse Institute Berlin,DE,2010,,"Academic,Open Source",Apache v2,scalaris-team/scalaris,Y,0.82,237
scaliendb,scaliendb,,X_Single,Y_auto,ScalienDB,Key-value,C++,HTTP / REST,Shared-Nothing,Scalien,HU,2010,,"Commercial,Open Source",AGPL v3,scalien/scaliendb,Y,,
scylla,scylla,,X_Single,Y_auto,Scylla,"Wide column,Key-value",C++,Custom API,Shared-Nothing,ScyllaDB Inc.,IL,2014,,"Commercial,Open Source",AGPL v3,scylladb/scylla,Y,,
sdb,sdb,,X_Single,Y_auto,SDB,"Relational,Document",C,Custom API,Embedded,,ES,,,Open Source,MIT,radare/sdb,Y,,
seafowl,seafowl,,X_Single,Y_auto,Seafowl,Relational,Rust,SQL,Shared-Everything,"Splitgraph, Inc.",GB,2022,,"Commercial,Open Source",Apache v2,splitgraph/seafowl,Y,,
senseidb,senseidb,senseidb,Normal,Y_auto,SenseiDB,Relational#dbdbio>|<dbengines#Document,Java,Custom API,Shared-Nothing,"LinkedIn, Xiaomi",US,2012#dbdbio>|<dbengines#2010,,Open Source,Apache v2,LinkedInAttic/sensei,Y,0.12,372
sequins,sequins,,X_Single,Y_auto,Sequins,Key-value,Go,,,Stripe,US,2014,,Open Source,MIT,stripe/sequins,Y,,
sequoiadb,sequoiadb,sequoiadb,Normal,Y_auto,SequoiaDB,Document,C++,,,SequoiaDB Corporation,CN,2011#dbdbio>|<dbengines#2013,,"Commercial,Open Source",AGPL v3,SequoiaDB/SequoiaDB,Y,0.59,260
serenity,serenity,,X_Single,Y_auto,Serenity,,C,,,,RU,2015,,Open Source,,pmwkaa/serenity,Y,,
shardingsphere,shardingsphere,,X_Single,Y_auto,ShardingSphere,Relational,Java,,,Apache,CN,2016,,Open Source,Apache v2,apache/shardingsphere,Y,,
silo,silo,,X_Single,Y_auto,Silo,Relational,"C++,Python",,,"Stephen Tu, Eddie Kohler",US,2013,,"Academic,Open Source",MIT,stephentu/silo,Y,,
sirdb,sirdb,,X_Single,Y_auto,Sir.DB,Document,JavaScript,,,Cris Stringfellow,HK,2020,,"Hobby,Open Source",MIT,c9fe/sirdb,Y,,
siridb,siridb,siridb,Normal,Y_auto,SiriDB,Time Series,C,,,Cesbit,NL,2016#dbdbio>|<dbengines#2017,,"Commercial,Open Source",MIT,SiriDB/siridb-server,Y,0.19,356
sirixdb,sirixdb,,X_Single,Y_auto,SirixDB,Document,"Java,Kotlin",,,University of Konstanz,DE,2012,,"Academic,Open Source",BSD,sirixdb/sirix,Y,,
skeletondb,skeletondb,,X_Single,Y_auto,SkeletonDB,,Go,,,Tristan Rice,CA,2016,,Open Source,MIT,d4l3k/skeletondb,Y,,
sksql,sksql,,X_Single,Y_auto,SKSQL,Relational,TypeScript,,,Alex Raffy,ES,2021,,"Hobby,Open Source",MIT,alexraffy/sksql,Y,,
skytable,skytable,skytable,Normal,Y_auto,Skytable,Key-value,Rust,,,"Skytable, Inc.",,2020,,Open Source,AGPL v3.0,skytable/skytable,Y,0.4,300
sled,sled,,X_Single,Y_auto,Sled,Key-value,Rust,,,Tyler Neely,"US,DE",2016,,Open Source,"Apache v2,,,MIT",spacejam/sled,Y,,
sleekdb,sleekdb,,X_Single,Y_auto,SleekDB,Document,PHP,,,,BD,2018,,Open Source,MIT,rakibtg/SleekDB,Y,,
slumber-db,slumber-db,,X_Single,Y_auto,Slumber DB,Key-value,Java,,,Richard Hightower,US,2014,,Open Source,Apache v2,RichardHightower/slumberdb,Y,,
sneller,sneller,,X_Single,Y_auto,Sneller,Document,Go,SQL,Shared-Disk,"Sneller, Inc.",US,2022,,"Commercial,Open Source",AGPL v3,SnellerInc/sneller,Y,,
solr,solr,solr,Normal,Y_auto,Solr,Document#dbdbio>|<dbengines#Search engine,Java,Custom API,Shared-Nothing,Apache Software Foundation,US,2004#dbdbio>|<dbengines#2006,2023,Open Source,Apache v2,apache/solr,Y,45.88,24
sones-graphdb,sones-graphdb,,X_Single,Y_auto,sones GraphDB,Graph,C#,,,sones GmbH,DE,2007,,"Commercial,Open Source",AGPL v3,sones/sones,Y,,
sonnerie,sonnerie,,X_Single,Y_auto,Sonnerie,Relational,Rust,"HTTP / REST,Command-line / Shell",,Charles Samuels,US,,,Open Source,BSD,njaard/sonnerie,Y,,
spark-sql,spark-sql,spark-sql,Normal,Y_auto,Spark SQL,Relational,,"Custom API,SQL",Shared-Nothing,Apache Software Foundation,US,2014,2022,Open Source,Apache v2.0,apache/spark,Y,19.74,36
sparrowdb,sparrowdb,,X_Single,Y_auto,SparrowDB,Key-value,Go,HTTP / REST,,SparrowDB,BR,2016,,Open Source,MIT,SparrowDb/sparrowdb,Y,,
sphinx,sphinx,sphinx,Normal,Y_auto,Sphinx,Search engine,C++,,,Sphinx Technologies Inc.,US,2001,2021,"Commercial,Open Source","GPL v2, commercial licence available",sphinxsearch/sphinx,Y,6.63,64
spicedb,spicedb,,X_Single,Y_auto,SpiceDB,Object oriented,Go,"Custom API,HTTP / REST",,Authzed,US,2021,,"Commercial,Open Source",Apache v2,authzed/spicedb,Y,,
splice-machine,splice-machine,splice-machine,Normal,Y_auto,Splice Machine,Relational,Java,SQL,Shared-Disk,Splice Machine,US,2012#dbdbio>|<dbengines#2014,,"Commercial,Open Source",AGPL v3.0; commercial license available,splicemachine/spliceengine,Y,1.03,212
splinterdb,splinterdb,,X_Single,Y_auto,SplinterDB,Key-value,C,Custom API,Embedded,"VMware, Inc.",US,2018,,"Industrial Research,Open Source",Apache v2,vmware/splinterdb,Y,,
srch2,srch2,,X_Single,Y_auto,SRCH²,,C++,,,SRCH²,US,2010,,"Commercial,Open Source",Proprietary,SRCH2/srch2-ngn,Y,,
ssdb,ssdb,,X_Single,Y_auto,SSDB,Key-value,C++,"Custom API,Command-line / Shell",Shared-Nothing,Zuyang Wu,CN,2013,,Open Source,BSD,ideawu/ssdb,Y,,
starrocks,starrocks,,X_Single,Y_auto,StarRocks,Relational,C++,SQL,,StarRocks Labs,CN,2021,,"Commercial,Open Source",Elastic License v2,StarRocks/StarRocks,Y,,
stellarsql,stellarsql,,X_Single,Y_auto,StellarSQL,Relational,Rust,SQL,,An-Chi Liu,TW,2018,,"Hobby,Open Source",MIT,stellarsql/StellarSQL,Y,,
stig,stig,,X_Single,Y_auto,Stig,Graph,C++,,Shared-Nothing,Tagged,US,2010,,Open Source,Apache v2,jssmith/stigdb,Y,,
stonedb,stonedb,,X_Single,Y_auto,StoneDB,Relational,,SQL,,StoneAtom Ltd.,CN,2022,,"Commercial,Open Source",,StoneAtom/stonedb,Y,,
summitdb,summitdb,,X_Single,Y_auto,SummitDB,Key-value,,Custom API,Shared-Nothing,,US,,,"Hobby,Open Source",MIT,tidwall/summitdb,Y,,
surrealdb,surrealdb,surrealdb,Normal,Y_auto,SurrealDB,"Document,Graph",,"Custom API,SQL,HTTP / REST","Shared-Nothing,Embedded",SurrealDB Ltd,GB,2022,,"Commercial,Open Source",Business Source License,surrealdb/surrealdb,Y,0.51,278
swaydb,swaydb,swaydb,Normal,Y_auto,SwayDB,Key-value,,Custom API,Embedded,Simer Plaha,AU,2018,,"Commercial,Open Source",AGPL v3.0,simerplaha/SwayDB,Y,0,388
swc-db,swc-db,swc-db,Normal,Y_auto,SWC-DB,"Wide column,Key-value",,"Custom API,SQL,Command-line / Shell",Shared-Nothing,Alex Kashirin,IL,2020,,"Commercial,Open Source","GPL v3,Proprietary",kashirin-alex/swc-db,Y,0.02,383
sylvadb,sylvadb,,X_Single,Y_auto,SylvaDB,Graph,,,,,CA,,,"Academic,Open Source",AGPL v3,CulturePlex/Sylva,Y,,
tabdb,tabdb,,X_Single,Y_auto,TabDB,Relational,,SQL,,,US,,,"Hobby,Open Source",,kkuchta/tabdb,Y,,
taffydb,taffydb,,X_Single,Y_auto,TaffyDB,Document,,,Embedded,,US,,,Open Source,MIT,typicaljoe/taffydb,Y,,
tarantool,tarantool,tarantool,Normal,Y_auto,Tarantool,Key-value,,"Custom API,Stored Procedures,Command-line / Shell",Shared-Nothing,VK,RU,2008,,"Commercial,Open Source",BSD,tarantool/tarantool,Y,1.87,151
tdengine,tdengine,tdengine,Normal,Y_auto,TDengine,Relational#dbdbio>|<dbengines#Time Series,,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,"TDEngine, previously Taos Data",CN,2019,,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#GPL V3, also commercial editions available",taosdata/TDengine,Y,2.4,130
tendis,tendis,,X_Single,Y_auto,Tendis,Key-value,,Custom API,Shared-Nothing,,CN,,,Open Source,GPL v3,Tencent/Tendis,Y,,
tensorbase,tensorbase,,X_Single,Y_auto,TensorBase,Relational,,SQL,Shared-Disk,,CN,,,Open Source,Apache v2,tensorbase/tensorbase,Y,,
tera,tera,,X_Single,Y_auto,Tera,Wide column,,SQL,Shared-Disk,,CN,,,"Commercial,Open Source",BSD,baidu/tera,Y,,
terarkdb,terarkdb,terarkdb,Normal,Y_auto,TerarkDB,Key-value,,Custom API,Embedded,Terark,CN,2016,,Open Source,Apache v2; restricted open source version available,bytedance/terarkdb,Y#dbdbio>|<dbengines#N,0.25,337
terminusdb,terminusdb,terminusdb,Normal,Y_auto,TerminusDB,"Graph,Document,RDF",,"Custom API,Datalog",,DataChemist Ltd.,IE,2018,2022,"Commercial,Open Source",GPL v3,terminusdb/terminusdb,Y,0.34,315
thinksql,thinksql,,X_Single,Y_auto,ThinkSQL,Relational,Pascal,SQL,,,GB,2000,,"Commercial,Open Source",,ggaughan/ThinkSQL,Y,,
tidb,tidb,tidb,Normal,Y_auto,TiDB,Key-value#dbdbio>|<dbengines#Relational,Go,SQL,,"PingCAP, Inc.",CN,2015#dbdbio>|<dbengines#2016,2023,"Commercial,Open Source",Apache v2.0,pingcap/tidb,Y,3.01,108
tiedot,tiedot,,X_Single,Y_auto,tiedot,Document,Go,,,Howard Guo,FI,2013,,Open Source,BSD,HouzuoGuo/tiedot,Y,,
tieredmemdb,tieredmemdb,,X_Single,Y_auto,TieredMemDB,,,Command-line / Shell,,Intel,PL,2020,,"Industrial Research,Open Source",,TieredMemDB/TieredMemDB,Y,,
tigerbeetle,tigerbeetle,,X_Single,Y_auto,TigerBeetle,Relational,Zig,Custom API,,"Coil Technologies, Inc.",ZA,2020,,Open Source,Apache v2,coilhq/tigerbeetle,Y,,
tikv,tikv,,X_Single,Y_auto,TiKV,Key-value,Rust,Custom API,,Cloud Nature Computing Foundation (CNCF),CN,2016,,Open Source,Apache v2,tikv/tikv,Y,,
tile38,tile38,,X_Single,Y_auto,Tile38,,Go,"Custom API,HTTP / REST",,Josh Baker,US,2016,,Open Source,MIT,tidwall/tile38,Y,,
tiledb,tiledb,,X_Single,Y_auto,TileDB,Array,C++,"Custom API,SQL",,"TileDB Inc, Intel Labs",US,2017,,"Commercial,Open Source",MIT,TileDB-Inc/TileDB,Y,,
timbala,timbala,,X_Single,Y_auto,Timbala,Relational,Go,"HTTP / REST,PromQL",,Matt Bostock,GB,2016,2018,"Hobby,Open Source",Apache v2,mattbostock/timbala,Y,,
tingodb,tingodb,,X_Single,Y_auto,TingoDB,Document,JavaScript,Custom API,,PushOk Software,RU,2013,,Open Source,MIT,sergeyksv/tingodb,Y,,
tinybase,tinybase,,X_Single,Y_auto,TinyBase,Relational,TypeScript,Custom API,,James Pearce,US,2021,,Open Source,MIT,tinyplex/tinybase,Y,,
tinydb,tinydb,,X_Single,Y_auto,TinyDB,Document,Python,Custom API,,Markus Siemens,DE,2013,,Open Source,MIT,msiemens/tinydb,Y,,
titan-nosql,titan-nosql,,X_Single,Y_auto,Titan,,Go,,,"Meitu, Inc.",CN,2018,,"Hobby,Open Source",Apache v2,meitu/titan,Y,,
titan,titan,,X_Single,Y_auto,Titan,Graph,Java,Gremlin,,Aurelius,,2012,2015,Open Source,Apache v2,thinkaurelius/titan,Y,,
tokudb,tokudb,,X_Single,Y_auto,TokuDB,Relational,,,,Percona,US,2009,,"Commercial,Open Source",GPL v2,percona/tokudb-engine,Y,,
tokumx,tokumx,,X_Single,Y_auto,TokuMX,,,,,Tokutek,US,,,"Commercial,Open Source","AGPL v3,Apache v2,GPL v2",Tokutek/mongo,Y,,
tomp2p,tomp2p,tomp2p,Normal,Y_auto,TomP2P,Key-value,,,,Thomas Bocek,CH,2004,,Open Source,Apache v2,tomp2p/TomP2P,Y,0.19,356
torodb,torodb,torodb,Normal,Y_auto,ToroDB,Document,,,,8Kdata,ES,2016,,Open Source,AGPL v3,torodb/server,Y,0.26,334
trafodion,trafodion,trafodion,Normal,Y_auto,Trafodion,Relational,,,,"Apache Software Foundation, originally developed by Hewlett-Packard Company",US,2014,2019,Open Source,Apache v2.0,apache/trafodion,Y,0.64,256
traildb,traildb,,X_Single,Y_auto,TrailDB,,,,,AdRoll Inc.,US,,,"Commercial,Open Source",MIT,traildb/traildb,Y,,
treodedb,treodedb,,X_Single,Y_auto,TreodeDB,,,,,"Treode, Inc.",US,,,"Commercial,Open Source",Apache v2,Treode/store,Y,,
trino,trino,trino,Normal,Y_auto,Trino,Relational,,,,Trino Software Foundation,US,2012,,Open Source,Apache v2.0,trinodb/trino,Y,4.8,84
trousseau,trousseau,,X_Single,Y_auto,Trousseau,,,,,Théo Crevon,DE,,,Open Source,MIT,oleiade/trousseau,Y,,
ts-sql,ts-sql,,X_Single,Y_auto,ts-sql,,,,,Charles Pick,GB,,,"Hobby,Open Source",,codemix/ts-sql,Y,,
typedb,typedb,typedb,Normal,Y_auto,TypeDB,Graph,,,,Vaticle  (formerly Grakn Labs),GB,2016,2022,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#GPL Version 3, commercial licenses available",vaticle/typedb,Y,1.39,182
typhoon,typhoon,,X_Single,Y_auto,Typhoon,,,,,"Thomas B. Pedersen, Kaz Kylheku",DK,,,Open Source,MIT,jonahharris/osdb-typhoon,Y,,
unqlite,unqlite,,X_Single,Y_auto,UnQLite,,,,,Symisc Systems,TN,,,"Commercial,Open Source",,symisc/unqlite,Y,,
