DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Mar-2026,Rank_Mar-2026,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Columnar,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,NoSQL,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Spatial DBMS,Vector DBMS,DBMS_urnform
Oracle,Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Oracle,N,Y,-,1182.46,1,-,-,Oracle,1980,2023,N,restricted free version is available,N,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1.0,0.0,oracle
MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,858.34,2,mysql,mysql-server,Oracle,1995,2024,Y,GPL version 2. Commercial licenses with extended functionallity are available,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,mysql
Microsoft SQL Server,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,711.47,3,-,-,Microsoft,1989,2022,N,restricted free version is available,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,microsoft-sql-server
PostgreSQL,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,680.08,4,postgres,postgres,PostgreSQL Global Development Group,1989,2024,Y,BSD,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1.0,1.0,postgresql
MongoDB,Document,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,383.58,5,mongodb,mongo,"MongoDB, Inc",2009,2024,Y,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,N,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1.0,1.0,mongodb
Snowflake,Relational,Relational DBMS,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,211.24,6,twitter-archive,snowflake,Snowflake Computing Inc.,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,snowflake
Databricks,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Databricks,N,N,-,145.81,7,-,-,Databricks,2013,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,databricks
Redis,Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/Redis,Y,Y,redis/redis,145.19,8,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009,2024,Y,"source-available extensions (modules), commercial licenses for Redis Enterprise",N,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1.0,1.0,redis
IBM Db2,Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",https://db-engines.com/en/system/IBM+Db2,N,Y,-,111.38,9,-,-,IBM,1983,2016,N,free version is available,N,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,0.0,ibm-db2
Elasticsearch,Search Engine,"Search engine,Vector DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,103.58,10,elastic,elasticsearch,Elastic,2010,2023,Y,Elastic License,N,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.0,1.0,elasticsearch
Apache Cassandra,Wide column,"Wide column store,Vector DBMS",https://db-engines.com/en/system/Apache+Cassandra,,,,101.88,11,,,Apache Software Foundation,2008,2024,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,apache-cassandra
SQLite,Relational,Relational DBMS,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,95.97,12,sqlite,sqlite,Dwayne Richard Hipp,2000,2024,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,sqlite
MariaDB,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,87.0,13,MariaDB,server,MariaDB plc (MariaDB Enterprise Platform and MariaDB),2009,2024,Y,"GPL version 2, commercial enterprise subscription available",N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,mariadb
Microsoft Azure SQL Database,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,73.92,14,-,-,Microsoft,2010,,N,,Y,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,microsoft-azure-sql-database
Apache Hive,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Hive,,,,72.95,15,,,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-hive
Splunk,Search Engine,Search engine,https://db-engines.com/en/system/Splunk,N,,-,72.21,16,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,splunk
Microsoft Access,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,67.56,17,-,-,Microsoft,1992,2019,N,Bundled with Microsoft Office,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,microsoft-access
Amazon DynamoDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,65.42,18,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,amazon-dynamodb
Google BigQuery,Relational,Relational DBMS,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,55.82,19,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,google-bigquery
