DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Apr-2026,Rank_Apr-2026,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Columnar,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,NoSQL,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Spatial DBMS,Vector DBMS,DBMS_urnform
Elasticsearch,Search Engine,"Search engine,Vector DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,99.51,11,elastic,elasticsearch,Elastic,2010,2023,Y,Elastic License,N,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.0,1.0,elasticsearch
SQLite,Relational,Relational DBMS,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,95.9,12,sqlite,sqlite,Dwayne Richard Hipp,2000,2024,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,sqlite
MariaDB,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,86.41,13,MariaDB,server,MariaDB plc (MariaDB Enterprise Platform and MariaDB),2009,2024,Y,"GPL version 2, commercial enterprise subscription available",N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,mariadb
Microsoft Azure SQL Database,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,75.96,14,-,-,Microsoft,2010,,N,,Y,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,microsoft-azure-sql-database
Apache Hive,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Hive,,,,74.13,15,,,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-hive
Splunk,Search Engine,Search engine,https://db-engines.com/en/system/Splunk,N,,-,73.08,16,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,splunk
Microsoft Access,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,64.92,17,-,-,Microsoft,1992,2019,N,Bundled with Microsoft Office,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,microsoft-access
Amazon DynamoDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,62.67,18,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,amazon-dynamodb
Google BigQuery,Relational,Relational DBMS,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,52.36,19,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,google-bigquery
Neo4j,Graph,Graph DBMS,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,46.88,20,neo4j,neo4j,"Neo4j, Inc.",2007,2024,Y,"GPL version3, commercial licenses available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neo4j
SAP HANA,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+HANA,N,,-,33.23,21,-,-,SAP,2010,2023,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,sap-hana
Apache Solr,Search Engine,"Search engine,Spatial DBMS",https://db-engines.com/en/system/Apache+Solr,,,,33.17,22,,,Apache Software Foundation,2006,2024,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,apache-solr
Teradata,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Teradata,N,,-,31.11,23,-,-,Teradata,1984,2019,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,teradata
FileMaker,Relational,Relational DBMS,https://db-engines.com/en/system/FileMaker,N,,-,28.81,24,-,-,Claris,1983,2021,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,filemaker
SAP Adaptive Server,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,25.31,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,sap-adaptive-server
ClickHouse,Relational,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,22.87,26,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2025,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.0,0.0,clickhouse
Microsoft Azure Cosmos DB,Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,22.43,27,-,-,Microsoft,2014,,N,,Y,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,microsoft-azure-cosmos-db
Apache Spark (SQL),Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,,,21.97,28,,,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-spark-sql
PostGIS,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,21.51,29,postgis,postgis,,2005,2024,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,postgis
OpenSearch,Search Engine,"Search engine,Vector DBMS,Vector DBMS",https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,20.73,30,opensearch-project,OpenSearch,The OpenSearch Software Foundation,2021,2025,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,opensearch
InfluxDB,Time Series,"Time Series DBMS,Spatial DBMS",https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,20.49,31,influxdata,influxdb,,2013,2024,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,influxdb
Apache HBase,Wide column,Wide column store,https://db-engines.com/en/system/Apache+HBase,,,,18.81,32,,,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,apache-hbase
Firebird,Relational,Relational DBMS,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,17.16,33,FirebirdSQL,firebird,Firebird Foundation,2000,2024,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,firebird
Microsoft Azure Synapse Analytics,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,16.43,34,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,microsoft-azure-synapse-analytics
Firebase Realtime Database,Document,Document store,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,15.97,35,-,-,Google,2012,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,firebase-realtime-database
Microsoft Fabric,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Fabric,,,,15.82,36,,,Microsoft,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,microsoft-fabric
Memcached,Key-value,Key-value store,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,13.97,37,memcached,memcached,Danga Interactive,2003,2024,Y,BSD license,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,memcached
Amazon Redshift,Relational,Relational DBMS,https://db-engines.com/en/system/Amazon+Redshift,N,,-,13.79,38,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,amazon-redshift
Informix,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Informix,N,Y,-,13.51,39,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,informix
Apache Impala,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Apache+Impala,,,,11.93,40,,,Apache Software Foundation,2013,2022,Y,Apache Version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-impala
Couchbase,Document,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store",https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,10.37,41,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2024,Y,Business Source License (BSL 1.1); Commercial licenses also available,N,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1.0,0.0,couchbase
Google Cloud Firestore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,9.76,42,-,-,Google,2017,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,google-cloud-firestore
DuckDB,Relational,Relational DBMS,https://db-engines.com/en/system/DuckDB,Y,,duckdb/duckdb,9.66,43,duckdb,duckdb,,2018,2024,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,duckdb
Amazon Aurora,Relational,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Amazon+Aurora,N,,-,9.39,44,-,-,Amazon,2015,2024,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.0,amazon-aurora
Apache Flink,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Flink,Y,,apache/flink,9.1,45,apache,flink,Apache Software Foundation and contributors,,2024,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,apache-flink
Prometheus,Time Series,Time Series DBMS,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,9.07,46,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,prometheus
Vertica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Vertica,N,Y,-,8.47,47,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,vertica
Pinecone,Vector,Vector DBMS,https://db-engines.com/en/system/Pinecone,N,Y,-,8.18,48,-,-,"Pinecone Systems, Inc",2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,pinecone
dBASE,Relational,Relational DBMS,https://db-engines.com/en/system/dBASE,N,,-,8.15,49,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,dbase
Kdb,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,7.6,50,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,1.0,kdb
H2,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/H2,Y,N,h2database/h2database,7.57,51,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,h2
etcd,Key-value,Key-value store,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,7.11,52,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,etcd
Trino,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",https://db-engines.com/en/system/Trino,Y,,trinodb/trino,7.09,53,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1.0,0.0,trino
Algolia,Search Engine,Search engine,https://db-engines.com/en/system/Algolia,N,,-,6.6,54,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,algolia
Realm,Document,Document store,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,6.6,55,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,realm
Milvus,Vector,Vector DBMS,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,6.39,56,milvus-io,milvus,,2019,2024,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,milvus
Microsoft Azure AI Search,Search Engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Microsoft+Azure+AI+Search,N,,-,6.34,57,-,-,Microsoft,2015,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,,microsoft-azure-ai-search
Netezza,Relational,Relational DBMS,https://db-engines.com/en/system/Netezza,N,,-,5.98,58,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,netezza
Greenplum,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb-archive,5.98,59,greenplum-db,gpdb-archive,Pivotal Software Inc.,2005,2023,N,Apache 2.0,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,greenplum
Presto,Relational,Relational DBMS,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,5.93,60,prestodb,presto,Facebook; Presto Foundation,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,presto
Sphinx,Search Engine,Search engine,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,5.81,61,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,sphinx
TimescaleDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,5.49,62,timescale,timescaledb,Timescale,2017,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,timescaledb
CouchDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,5.49,63,apache,couchdb,Apache Software Foundation,2005,2023,Y,Apache version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,couchdb
Qdrant,Vector,Vector DBMS,https://db-engines.com/en/system/Qdrant,Y,,qdrant/qdrant,4.98,64,qdrant,qdrant,Qdrant,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,qdrant
DolphinDB,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/DolphinDB,N,,-,4.91,65,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,0.0,dolphindb
Graphite,Time Series,Time Series DBMS,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,4.56,66,graphite-project,graphite-web,Chris Davis,2006,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,graphite
Oracle Essbase,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Essbase,N,,-,4.55,67,-,-,Oracle,1998,2020,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,oracle-essbase
ScyllaDB,Wide column,"Wide column store,Key-value store",https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,4.54,68,scylladb,scylla,ScyllaDB,2015,2024,Y,"Open Source (AGPL), commercial license available",N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,scylladb
Hazelcast,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,4.5,69,hazelcast,hazelcast,Hazelcast,2008,2023,Y,Apache Version 2; commercial licenses available,N,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,hazelcast
Weaviate,Vector,Vector DBMS,https://db-engines.com/en/system/Weaviate,Y,,semi-technologies/weaviate,4.42,70,semi-technologies,weaviate,Weaviate B.V.,2019,2023,Y,commercial license available with Weaviate Enterprise,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,weaviate
MarkLogic,Document,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS",https://db-engines.com/en/system/MarkLogic,N,,-,4.02,71,-,-,MarkLogic Corp.,2001,2022,N,restricted free version is available,N,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.0,0.0,marklogic
RocksDB,Key-value,Key-value store,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,3.76,72,facebook,rocksdb,"Facebook, Inc.",2013,2024,Y,BSD,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,rocksdb
QuestDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/QuestDB,Y,,questdb/questdb,3.74,73,questdb,questdb,QuestDB Technology Inc,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,questdb
CockroachDB,Relational,"Multi-Model DBMS,Relational DBMS,CockroachDB supports relational,semi-structured JSON/document,vector/embedding,geospatial,and typed categorical/enumeration data,all exposed via SQL,on the same strongly consistent,globally distributed data platform.",https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,3.69,74,cockroachdb,cockroach,Cockroach Labs,2015,2026,Y,"Apache 2.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,cockroachdb
Apache Jackrabbit,Content,Content stores,https://db-engines.com/en/system/Apache+Jackrabbit,,,,3.66,75,,,Apache Software Foundation,2006,2022,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,apache-jackrabbit
ArangoDB,Document,"Document store,Graph DBMS,Key-value store,Search engine",https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,3.65,76,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,arangodb
OpenEdge,Relational,Relational DBMS,https://db-engines.com/en/system/OpenEdge,N,,-,3.57,77,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,openedge
Google Cloud Datastore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,3.54,78,-,-,Google,2008,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,google-cloud-datastore
Alibaba Cloud PolarDB,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,,,3.49,79,,,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,alibaba-cloud-polardb
Aerospike,Document,"Document store,Graph DBMS,Key-value store,Spatial DBMS",https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,3.47,80,aerospike,aerospike-server,Aerospike,2012,2025,Y,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,N,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,aerospike
Apache Druid,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Apache+Druid,Y,N,apache/druid,3.46,81,apache,druid,Apache Software Foundation and contributors,2012,2025,Y,Apache license v2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,apache-druid
Interbase,Relational,Relational DBMS,https://db-engines.com/en/system/Interbase,N,,-,3.41,82,-,-,Embarcadero,1984,2019,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,interbase
Datastax Enterprise,Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",https://db-engines.com/en/system/Datastax+Enterprise,N,,-,3.31,83,-,-,DataStax,2011,2020,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1.0,1.0,datastax-enterprise
TiDB,Relational,"Relational DBMS,Vector DBMS",https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,3.26,84,pingcap,tidb,"PingCAP, Inc.",2016,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,tidb
Oracle NoSQL,Document,"Document store,Key-value store,Relational DBMS",https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,3.22,85,oracle,nosql-go-sdk,Oracle,2011,2025,Y,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",N,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,oracle-nosql
Microsoft Azure Data Explorer,Relational,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,3.15,86,-,-,Microsoft,2019,,N,,Y,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1.0,0.0,microsoft-azure-data-explorer
Ingres,Relational,Relational DBMS,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,3.13,87,fosslc,Ingres,Actian Corporation,1974,2024,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,ingres
Riak KV,Key-value,Key-value store,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,3.13,88,basho,riak_kv,"OpenSource, formerly Basho Technologies",2009,2022,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,riak-kv
Apache Derby,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Derby,,,,3.12,89,,,Apache Software Foundation,1997,2023,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-derby
