unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag,DBMS,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
asami,asami,Asami,,X_Never,Y_auto,asami,Graph,Clojure,Custom API,Shared-Everything,"Cisco, Paula Gearon",US,2018,,"Hobby,Open Source",Eclipse Public License,quoll/asami,Y,,
assassin,assassin,Assassin,,X_Never,Y_auto,assassin,Key-value,JavaScript,Custom API,Shared-Nothing,Ender Minyard,US,2020,,Open Source,MIT,genderev/assassin,Y,,
asterixdb,asterixdb,AsterixDB,,X_Never,Y_auto,asterixdb,Document,Java,Custom API,Shared-Nothing,University of California-Irvine and University of California-Riverside,US,2009,,"Academic,Open Source",Apache v2,apache/asterixdb,Y,,
atlas,atlas,Atlas,,X_Never,Y_auto,atlas,,Scala,Custom API,,Netflix,US,2014,,Open Source,,Netflix/atlas,Y,,
aviondb,aviondb,AvionDB,,X_Never,Y_auto,aviondb,Document,JavaScript,Custom API,Shared-Nothing,DappKit,"US,IN",2020,,"Commercial,Open Source",MIT,dappkit/aviondb,Y,,
bagri,bagri,Bagri,,X_Never,Y_auto,bagri,Document,Java,,,,RU,2014,,Open Source,Apache v2,dsukhoroslov/bagri,Y,,
baikaldb,baikaldb,BaikalDB,,X_Never,Y_auto,baikaldb,Relational,C++,SQL,Shared-Nothing,Baidu,CN,2018,,Open Source,Apache v2,baidu/BaikalDB,Y,,
bangdb,bangdb,BangDB,Bangdb,Normal,Y_auto,bangdb#dbdbio>|<dbengines#Bangdb,Key-value#dbdbio>|<dbengines#Document,C,,"Shared-Everything,Embedded","IQLECT#dbdbio>|<dbengines#Sachin Sinha, BangDB",IN,2015#dbdbio>|<dbengines#2012,,"Commercial,Open Source",BSD#dbdbio>|<dbengines#BSD 3,sachin-sinha/BangDB,Y,0.34,316
basex,basex,BaseX,BaseX,Normal,Y_auto,basex#dbdbio>|<dbengines#BaseX,Document#dbdbio>|<dbengines#Native XML,Java,XQuery,,BaseX GmbH,DE,2007,,"Academic,Open Source",BSD#dbdbio>|<dbengines#BSD license,BaseXdb/basex,Y,1.99,144
bayesdb,bayesdb,BayesDB,,X_Never,Y_auto,bayesdb,,Python,,,Massachusetts Institute of Technology,US,2015,,"Academic,Open Source",Apache v2,probcomp/bayeslite,Y,,
bbolt,bbolt,bbolt,,X_Never,Y_auto,bbolt,Key-value,Go,,,CoreOS,US,2017,,Open Source,MIT,etcd-io/bbolt,Y,,
bboxdb,bboxdb,BBoxDB,,X_Never,Y_auto,bboxdb,Array,Java,"Custom API,Command-line / Shell",Shared-Nothing,Jan Nidzwetzki,DE,2015,,Open Source,Apache v2,jnidzwetzki/bboxdb,Y,,
beagle-sql,beagle-sql,Beagle SQL,,X_Never,Y_auto,beagle-sql,Relational,C++,,,"Robert Klein, Jean-Claude Magras",US,1996,1999,Open Source,,jonahharris/osdb-beaglesql,Y,,
bedrock,bedrock,Bedrock,,X_Never,Y_auto,bedrock,Relational,C++,"SQL,Command-line / Shell","Shared-Disk,Embedded",Expensify,US,2016,,Open Source,LGPL v3,Expensify/Bedrock,Y,,
beringei,beringei,Beringei,,X_Never,Y_auto,beringei,Key-value,C++,Custom API,Shared-Nothing,Facebook,US,2015,,Open Source,BSD,facebookarchive/beringei,Y,,
berkeley-db,berkeley-db,Berkeley DB,Oracle Berkeley DB,Fuzzy:Normal,Y,berkeley-db#dbdbio>|<dbengines#Oracle Berkeley DB,"Key-value,Document#dbdbio>|<dbengines#Key-value",,"Custom API,SQL,PL/SQL",Embedded,Sleepycat Software#dbdbio>|<dbengines#Oracle,US,1994,2020,"Commercial,Open Source","AGPL v3,Apache v2#dbdbio>|<dbengines#commercial license available",berkeleydb/libdb,Y,3.24,102
beryldb,beryldb,BerylDB,,X_Never,Y_auto,beryldb,Key-value,C++,Custom API,,Beryl Labs,CL,2021,,"Hobby,Open Source",BSD,beryldb/beryldb,Y,,
bigchaindb,bigchaindb,BigchainDB,BigchainDB,Normal,Y_auto,bigchaindb#dbdbio>|<dbengines#BigchainDB,"Key-value,Document#dbdbio>|<dbengines#Document",Python,HTTP / REST,Shared-Nothing,BigchainDB GmbH,DE,2015#dbdbio>|<dbengines#2016,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#AGPL v3,bigchaindb/bigchaindb,Y,0.94,224
binaryrage,binaryrage,BinaryRage,,X_Never,Y_auto,binaryrage,Key-value,C#,Custom API,Embedded,Michael Christensen,DK,2012,,"Hobby,Open Source",,mchidk/BinaryRage,Y,,
bitcask,bitcask,Bitcask,,X_Never,Y_auto,bitcask,Key-value,Go,Custom API,Embedded,James Mills,AU,2019,,Open Source,MIT,prologic/bitcask,Y,,
bitsy,bitsy,Bitsy,,X_Never,Y_auto,bitsy,Graph,Java,Gremlin,Embedded,LambdaZen LLC,US,2013,,Open Source,Apache v2,lambdazen/bitsy,Y,,
blazegraph,blazegraph,Blazegraph,Blazegraph,Normal,Y_auto,blazegraph#dbdbio>|<dbengines#Blazegraph,"Graph,RDF#dbdbio>|<dbengines#Graph",Java,SPARQL,Shared-Nothing,"SYSTAP, LLC.#dbdbio>|<dbengines#Blazegraph",US,2006,,"Commercial,Open Source",GPL v2#dbdbio>|<dbengines#extended commercial license available,blazegraph/database,Y,1.18,198
blazingsql,blazingsql,BlazingSQL,,X_Never,Y_auto,blazingsql,Relational,C++,SQL,Shared-Nothing,BlazingDB,PE,2015,,"Commercial,Open Source","Apache v2,,,Proprietary",blazingdb/pyBlazing,Y,,
blinkdb,blinkdb,BlinkDB,,X_Never,Y_auto,blinkdb,Relational,,SQL,Shared-Disk,"University of California-Berkeley, Massachusetts Institute of Technology",US,2012,,"Academic,Open Source",Apache v2,sameeragarwal/blinkdb,Y,,
blueflood,blueflood,Blueflood,Blueflood,Normal,Y_auto,blueflood#dbdbio>|<dbengines#Blueflood,Time Series,Java,,,Rackspace,US,2013,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,rackerlabs/blueflood,Y,0.21,350
bojack,bojack,BoJack,,X_Never,Y_auto,bojack,Key-value,Crystal,Command-line / Shell,Shared-Everything,Marcelo Boeira,DE,2016,,Open Source,MIT,marceloboeira/bojack,Y,,
boltdb,boltdb,BoltDB,BoltDB,Normal,Y_auto,boltdb#dbdbio>|<dbengines#BoltDB,Key-value,Go,Custom API,Embedded,Ben Johnson,US,2013,,Open Source,MIT#dbdbio>|<dbengines#MIT License,boltdb/bolt#dbdbio>|<dbengines#etcd-io/bbolt,Y,0.87,233
bonsaidb,bonsaidb,BonsaiDb,,X_Never,Y_auto,bonsaidb,Key-value,Rust,,"Shared-Everything,Embedded",Khonsu Labs,US,2021,,Open Source,"Apache v2,,,MIT",khonsulabs/bonsaidb,Y,,
brightstardb,brightstardb,BrightstarDB,BrightstarDB,Normal,Y_auto,brightstardb#dbdbio>|<dbengines#BrightstarDB,RDF,C#,,,,GB,2012,,Open Source,MIT,BrightstarDB/BrightstarDB,Y,0.27,331
btdb,btdb,BTDB,,X_Never,Y_auto,btdb,"Key-value,Object oriented",C#,Custom API,,Boris Letocha,CZ,2010,,Open Source,MIT,Bobris/BTDB,Y,,
btrdb,btrdb,BTrDB,,X_Never,Y_auto,btrdb,Relational,Go,,Shared-Disk,"University of California, Berkeley",US,2014,,"Academic,Open Source",GPL v3,BTrDB/btrdb-server,Y,,
bugfruit,bugfruit,bugfruit,,X_Never,Y_auto,bugfruit,Key-value,Go,Custom API,Embedded,Reese Porter,US,2022,,"Hobby,Open Source",BSD,reesporte/bugfruit,Y,,
buntdb,buntdb,BuntDB,,X_Never,Y_auto,buntdb,Key-value,Go,,Embedded,Josh Baker,US,2016,,Open Source,MIT,tidwall/buntdb,Y,,
bustub,bustub,BusTub,,X_Never,Y_auto,bustub,Relational,C++,SQL,,Carnegie Mellon University,US,2019,,"Academic,Educational,Open Source",MIT,cmu-db/bustub,Y,,
calvin,calvin,Calvin,,X_Never,Y_auto,calvin,Relational,C++,,,Yale University,US,2012,,"Academic,Open Source",,yaledb/calvin,Y,,
