unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag,DBMS,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
duckdb,duckdb,DuckDB,DuckDB,Normal,Y_auto,duckdb#dbdbio>|<dbengines#DuckDB,Relational,C++,,,CWI,NL,2018,,"Academic,Open Source",MIT#dbdbio>|<dbengines#MIT License,cwida/duckdb#dbdbio>|<dbengines#duckdb/duckdb,Y,2.01,143
ductiledb,ductiledb,DuctileDB,,X_Never,Y_auto,ductiledb,Graph,Java,Gremlin,,PureSol Technologies,DE,2015,,Open Source,Apache v2,PureSolTechnologies/DuctileDB,Y,,
dynomitedb,dynomitedb,DynomiteDB,,X_Never,Y_auto,dynomitedb,,C,,,Netflix,US,2012,,Open Source,Apache v2,Netflix/dynomite,Y,,
earthstar,earthstar,Earthstar,,X_Never,Y_auto,earthstar,Document,TypeScript,Custom API,,Earthstar Project,US,2020,,"Academic,Open Source",LGPL v3,earthstar-project/earthstar,Y,,
easedb,easedb,EaseDB,,X_Never,Y_auto,easedb,Document,Ruby,HTTP / REST,,Alexander Shakhmatov,RU,2013,,Open Source,MIT,X2rdas/easedb,Y,,
echodb,echodb,EchoDB,,X_Never,Y_auto,echodb,Key-value,Rust,Custom API,,SurrealDB Ltd.,GB,2021,,Open Source,Apache v2,surrealdb/echodb,Y,,
edgedb,edgedb,EdgeDB,,X_Never,Y_auto,edgedb,Object oriented,,"Custom API,SQL,GraphQL",,MagicStack,CA,2018,,Open Source,Apache v2,edgedb/edgedb,Y,,
edgelessdb,edgelessdb,EdgelessDB,EdgelessDB,Normal,Y_auto,edgelessdb#dbdbio>|<dbengines#EdgelessDB,Relational,,SQL,,Edgeless Systems,DE,2021,,"Commercial,Open Source",GPL v2#dbdbio>|<dbengines#GPL V2,edgelesssys/edgelessdb,Y,0.0,389
edis,edis,Edis,,X_Never,Y_auto,edis,Key-value,Erlang,,,Chad DePue,US,2010,,Open Source,,cbd/edis,Y,,
ehcache,ehcache,Ehcache,Ehcache,Normal,Y_auto,ehcache#dbdbio>|<dbengines#Ehcache,Key-value,Java,Custom API,,"Terracotta, Inc.#dbdbio>|<dbengines#Terracotta Inc, owned by Software AG",US,2003#dbdbio>|<dbengines#2009,,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2; commercial licenses available,ehcache/ehcache3,Y,6.04,70
einsteindb,einsteindb,EinsteinDB,,X_Never,Y_auto,einsteindb,Key-value,Rust,,,Whtcorps Inc.,US,2019,,Open Source,,YosiSF/EinsteinDB,Y,,
ejdb,ejdb,EJDB,EJDB,Normal,Y_auto,ejdb#dbdbio>|<dbengines#EJDB,"Key-value,Document#dbdbio>|<dbengines#Document",C,,,Softmotions,RU,2012,,Open Source,GPLv2,Softmotions/ejdb,Y,0.5,280
elara-db,elara-db,Elara DB,,X_Never,Y_auto,elara-db,Key-value,Python,,,Saurabh Pujari,IN,2021,,"Hobby,Open Source",,saurabh0719/elara,Y,,
elasql,elasql,ElaSQL,,X_Never,Y_auto,elasql,Relational,Java,,,National Tsing Hua University,TW,2016,,"Academic,Open Source",,elasql/elasql,Y,,
elasticsearch,elasticsearch,Elasticsearch,Elasticsearch,Normal,Y_auto,elasticsearch#dbdbio>|<dbengines#Elasticsearch,Document#dbdbio>|<dbengines#Search engine,Java,,,Elasticsearch BV#dbdbio>|<dbengines#Elastic,US,2004#dbdbio>|<dbengines#2010,2020,Open Source,Elastic License,elastic/elasticsearch,Y,138.6,8
elephantdb,elephantdb,ElephantDB,,X_Never,Y_auto,elephantdb,Key-value,Clojure,,,Nathan Marz,US,2011,,Open Source,,nathanmarz/elephantdb,Y,,
elevator,elevator,Elevator,,X_Never,Y_auto,elevator,Key-value,,,,Théo Crevon,DE,2012,,Open Source,,oleiade/Elevator,Y,,
eliasdb,eliasdb,EliasDB,,X_Never,Y_auto,eliasdb,Graph,Go,,,Matthias Ladkau,GB,2016,,Open Source,,krotik/eliasdb,Y,,
elliptics,elliptics,Elliptics,Elliptics,Normal,Y_auto,elliptics#dbdbio>|<dbengines#Elliptics,Key-value,"C++,Python",,,Reverbrain,RU,2009,,"Commercial,Open Source",,reverbrain/elliptics,Y,0.3,328
embeddinghub,embeddinghub,Embeddinghub,,X_Never,Y_auto,embeddinghub,Array,Go,,,Featureform,US,2020,,"Commercial,Open Source",,featureform/embeddinghub,Y,,
engula,engula,Engula,,X_Never,Y_auto,engula,Key-value,Rust,,,Huachao Huang,CN,2022,,"Hobby,Open Source",,engula/engula,Y,,
ennodb,ennodb,EnnoDB,,X_Never,Y_auto,ennodb,Key-value,C,,,Enno Rehling,NO,2012,,"Hobby,Open Source",,badgerman/ennodb,Y,,
etcd,etcd,etcd,etcd,Normal,Y_auto,etcd,Key-value,Go,,,CoreOS,US,2013,2019,Open Source,Apache Version 2.0,coreos/etcd#dbdbio>|<dbengines#etcd-io/etcd,Y,8.51,52
euclidesdb,euclidesdb,EuclidesDB,,X_Never,Y_auto,euclidesdb,Array,C++,,,Christian S. Perone,PT,2018,,Open Source,,perone/euclidesdb,Y,,
evcache,evcache,EVCache,,X_Never,Y_auto,evcache,Key-value,,,,Netflix,US,2012,,Open Source,,Netflix/EVCache,Y,,
event-store,event-store,Event Store,,X_Never,Y_auto,event-store,,"C#,C++,JavaScript",,,Event Store LLP,GB,2012,,"Commercial,Open Source",,EventStore/EventStore,Y,,
eventql,eventql,EventQL,,X_Never,Y_auto,eventql,Relational,C++,,,DeepCortex GmbH,"DE,NL",2014,,"Commercial,Open Source",,eventql/eventql,Y,,
exist-db,exist-db,eXist-db,eXist-db,Normal,Y_auto,exist-db#dbdbio>|<dbengines#eXist-db,Document#dbdbio>|<dbengines#Native XML,Java,,,eXist Solutions GmbH,DE,2000,,"Commercial,Open Source",L-GPL,eXist-db/exist,Y,1.12,202
extensible-storage-engine,extensible-storage-engine,Extensible Storage Engine,,X_Never,Y_auto,extensible-storage-engine,Key-value,C++,,,Microsoft,US,1994,,"Commercial,Open Source",,microsoft/Extensible-Storage-Engine,Y,,
eyros,eyros,eyros,,X_Never,Y_auto,eyros,Array,Rust,Custom API,Embedded,bits.coop,US,2018,,Open Source,Parity Public License,peermaps/eyros,Y,,
fallen-8,fallen-8,Fallen-8,,X_Never,Y_auto,fallen-8,Graph,C#,HTTP / REST,,Henning Rauch,DE,2011,,"Hobby,Open Source",MIT,cosh/fallen-8,Y,,
faster,faster,FASTER,,X_Never,Y_auto,faster,Key-value,"C#,C++",Custom API,Embedded,Microsoft,US,2018,,"Commercial,Open Source",MIT,microsoft/FASTER,Y,,
featurebase,featurebase,FeatureBase,FeatureBase,Normal,Y_auto,featurebase#dbdbio>|<dbengines#FeatureBase,Relational,Go,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Molecula#dbdbio>|<dbengines#Molecula and Pilosa Open Source Contributors,US,2017,2022,Open Source,Apache v2,featurebasedb/featurebase,Y#dbdbio>|<dbengines#N,0.42,292
ferretdb,ferretdb,FerretDB,,X_Never,Y_auto,ferretdb,Document,Go,Custom API,Shared-Everything,FerretDB Inc.,US,2021,,Open Source,,FerretDB/FerretDB,Y,,
filedb,filedb,FileDB,,X_Never,Y_auto,filedb,Key-value,C#,,,Mauricio David,BR,2015,,"Hobby,Open Source",MIT,mbdavid/FileDB,Y,,
filodb,filodb,FiloDB,,X_Never,Y_auto,filodb,,Scala,PromQL,,Evan Chan,US,2015,,Open Source,Apache v2,filodb/FiloDB,Y,,
firebird,firebird,Firebird,Firebird,Normal,Y_auto,firebird#dbdbio>|<dbengines#Firebird,Relational,"C,C++","Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Everything,Borland#dbdbio>|<dbengines#Firebird Foundation,US,2000,2022,Open Source,Mozilla Public License#dbdbio>|<dbengines#Initial Developer's Public License,FirebirdSQL/firebird,Y,22.6,32
flashdb,flashdb,FlashDB,,X_Never,Y_auto,flashdb,Key-value,C,Custom API,Embedded,Armink,CN,2020,,"Hobby,Open Source",Apache v2,armink/FlashDB,Y,,
fleetdb,fleetdb,FleetDB,,X_Never,Y_auto,fleetdb,Document,Clojure,Custom API,,Mark McGranaghan,US,2009,,"Academic,Open Source",MIT,mmcgrana/fleetdb,Y,,
flockdb,flockdb,FlockDB,FlockDB,Normal,Y_auto,flockdb#dbdbio>|<dbengines#FlockDB,Graph,Scala,,,Twitter,US,2010,2012,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2,twitter-archive/flockdb,Y,0.5,282
fluree,fluree,Fluree,Fluree,Normal,Y_auto,fluree#dbdbio>|<dbengines#Fluree,"Relational,Document,Graph,RDF#dbdbio>|<dbengines#Graph",Clojure,"Custom API,SQL,GraphQL,SPARQL,HTTP / REST",,"Fluree, PBC",US,2017#dbdbio>|<dbengines#2018,,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#open-sourced in October 2020,fluree/db,Y,0.39,301
fongo,fongo,Fongo,,X_Never,Y_auto,fongo,Document,Java,Custom API,Shared-Everything,Foursquare,US,2012,,Open Source,Apache v2,fakemongo/fongo,Y,,
forestdb,forestdb,ForestDB,,X_Never,Y_auto,forestdb,Key-value,C++,Custom API,Embedded,"Couchbase, Inc.",US,2013,,Open Source,Apache v2,couchbase/forestdb,Y,,
foundationdb,foundationdb,FoundationDB,FoundationDB,Normal,Y_auto,foundationdb#dbdbio>|<dbengines#FoundationDB,Key-value#dbdbio>|<dbengines#Document,C++,Custom API,Shared-Nothing,FoundationDB,US,2009#dbdbio>|<dbengines#2013,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,apple/foundationdb,Y,1.6,167
frostdb,frostdb,FrostDB,,X_Never,Y_auto,frostdb,Wide column,Go,Custom API,Embedded,Polar Signals,US,2022,,Open Source,Apache v2,polarsignals/frostdb,Y,,
fueldb,fueldb,FuelDB,,X_Never,Y_auto,fueldb,Document,Java,,,Joris Basiglio,FR,2014,,Open Source,MIT,unnamed38/fueldb,Y,,
gaffer,gaffer,Gaffer,,X_Never,Y_auto,gaffer,Graph,Java,,,Government Communications Headquarters,GB,2016,,Open Source,Apache v2,gchq/Gaffer,Y,,
gaia,gaia,Gaia,,X_Never,Y_auto,gaia,Object oriented,C++,,,GAIA,US,,,"Commercial,Open Source",MIT,gaia-platform/GaiaPlatform,Y,,
genji,genji,Genji,,X_Never,Y_auto,genji,Document,Go,,,Asdine El Hrychy,AE,2018,,Open Source,,genjidb/genji,Y,,
ghostdb,ghostdb,GhostDB,,X_Never,Y_auto,ghostdb,Key-value,Go,,,Jake Grogan,IE,2020,,Open Source,BSD,jakekgrog/GhostDB,Y,,
goshawkdb,goshawkdb,GoshawkDB,,X_Never,Y_auto,goshawkdb,,,,,Matthew Sackman,GB,,,"Commercial,Open Source",AGPL v3,goshawkdb/server,Y,,
graphik,graphik,Graphik,,X_Never,Y_auto,graphik,Document,Go,,,Coleman Word,US,2020,,"Hobby,Open Source",Apache v2,graphikDB/graphik,Y,,
graviton,graviton,Graviton,,X_Never,Y_auto,graviton,Key-value,Go,,,DERO Foundation,FR,2020,,Open Source,GPL v3,deroproject/graviton,Y,,
greatsql,greatsql,GreatSQL,,X_Never,Y_auto,greatsql,Relational,C++,,,"Beijing Wanli Open Source Software Co., Ltd.",CN,2020,,"Commercial,Open Source",GPL v2,GreatSQL/GreatSQL,Y,,
greenplum,greenplum,Greenplum,Greenplum,Normal,Y_auto,greenplum#dbdbio>|<dbengines#Greenplum,Relational,C,,,"Greenplum, Pivotal#dbdbio>|<dbengines#Pivotal Software Inc.",US,2003#dbdbio>|<dbengines#2005,2020,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,greenplum-db/gpdb,Y,10.94,46
greptimedb,greptimedb,GreptimeDB,,X_Never,Y_auto,greptimedb,Relational,Rust,,,Greptime Inc.,CN,2022,,"Commercial,Open Source",Apache v2,GreptimeTeam/greptimedb,Y,,
griddb,griddb,GridDB,GridDB,Normal,Y_auto,griddb#dbdbio>|<dbengines#GridDB,Key-value#dbdbio>|<dbengines#Time Series,C++,,,Toshiba Corporation,JP,2011#dbdbio>|<dbengines#2013,,"Commercial,Open Source","AGPL v3,,,Apache v2#dbdbio>|<dbengines#AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",griddb/griddb_nosql#dbdbio>|<dbengines#griddb/griddb,Y,1.97,146
gun,gun,GUN,,X_Never,Y_auto,gun,Graph,JavaScript,,,Mark Nadal,US,2014,,"Commercial,Open Source",Apache v2,amark/gun,Y,,
h-store,h-store,H-Store,,X_Never,Y_auto,h-store,Relational,"C++,Java","SQL,Stored Procedures",Shared-Nothing,"Brown University, Massachusetts Institute of Technology, Carnegie Mellon University",US,2006,2016,"Academic,Open Source","BSD,GPL v3",apavlo/h-store,Y,,
h2,h2,H2,H2,Normal,Y_auto,h2#dbdbio>|<dbengines#H2,Relational,Java,SQL,"Shared-Everything,Embedded",Thomas Mueller,CH,2004#dbdbio>|<dbengines#2005,2022,Open Source,"Eclipse Public License,Mozilla Public License#dbdbio>|<dbengines#dual-licence (Mozilla public license, Eclipse public license)",h2database/h2database,Y,8.46,53
halodb,halodb,HaloDB,,X_Never,Y_auto,halodb,Key-value,Java,,Embedded,Yahoo!,US,2017,,"Industrial Research,Open Source",Apache v2,yahoo/HaloDB,Y,,
hanoidb,hanoidb,HanoiDB,,X_Never,Y_auto,hanoidb,Key-value,Erlang,,,Kresten Krab Thorup,DK,2012,2016,Open Source,,krestenkrab/hanoidb,Y,,
hawq,hawq,HAWQ,Apache HAWQ,Fuzzy:Normal,Y,hawq#dbdbio>|<dbengines#Apache HAWQ,Relational,Java,SQL,Shared-Disk,Pivotal#dbdbio>|<dbengines#Pivotal  Software; Apache,US,2015#dbdbio>|<dbengines#2012,,Open Source,Apache v2,apache/hawq,Y,1.42,179
hazelcast,hazelcast,Hazelcast,Hazelcast,Normal,Y_auto,hazelcast#dbdbio>|<dbengines#Hazelcast,Key-value,Java,Custom API,Shared-Nothing,Hazelcast,US,2008,2023,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2; commercial licenses available,hazelcast/hazelcast,Y,9.11,49
heavydb,heavydb,HeavyDB,,X_Never,Y_auto,heavydb,Relational,C++,SQL,Shared-Everything,HEAVY.AI,US,2013,,"Commercial,Open Source",Apache v2,heavyai/heavydb,Y,,
herddb,herddb,HerdDB,,X_Never,Y_auto,herddb,Relational,Java,"Custom API,SQL,Command-line / Shell",Shared-Nothing,Diennea S.r.l.,IT,2016,,Open Source,Apache v2,diennea/herddb,Y,,
heroic,heroic,Heroic,Heroic,Normal,Y_auto,heroic#dbdbio>|<dbengines#Heroic,Key-value#dbdbio>|<dbengines#Time Series,Java,Custom API,Shared-Nothing,Spotify,SE,2015#dbdbio>|<dbengines#2014,2019,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,spotify/heroic,Y,0.37,306
hibari,hibari,Hibari,Hibari,Normal,Y_auto,hibari#dbdbio>|<dbengines#Hibari,Key-value,Erlang,,,Gemini Mobile Technologies,"US,JP",2005,,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2,hibari/hibari,Y,1.21,196
hipsterdb,hipsterdb,hipsterDB,,X_Never,Y_auto,hipsterdb,Key-value,Go,HTTP / REST,,Rob Merrell,US,2013,2013,"Hobby,Open Source",,robmerrell/hipsterdb,Y,,
histore,histore,Histore,,X_Never,Y_auto,histore,Key-value,JavaScript,Custom API,,Jason Miller,US,2018,,Open Source,Apache v2,developit/histore,Y,,
hive-dart,hive-dart,Hive (Dart),,X_Never,Y_auto,hive-dart,Key-value,Dart,Custom API,Embedded,Simon Leier,DE,2019,,Open Source,Apache v2,hivedb/hive,Y,,
hstreamdb,hstreamdb,HStreamDB,,X_Never,Y_auto,hstreamdb,Relational,Haskell,SQL,,"EMQ Technologies Co., Ltd.",CN,2020,,"Commercial,Open Source",BSD,hstreamdb/hstream,Y,,
hydra,hydra,Hydra,,X_Never,Y_auto,hydra,"Object oriented,Relational",C,SQL,Shared-Everything,Hydra,CA,2022,,"Commercial,Open Source","AGPL v3,,,Apache v2",HydrasDB/hydra,Y,,
hyperdex,hyperdex,HyperDex,,X_Never,Y_auto,hyperdex,Key-value,C++,Custom API,Shared-Nothing,Cornell University,US,2011,2016,"Academic,Open Source",BSD,rescrv/HyperDex,Y,,
hypergraphdb,hypergraphdb,HyperGraphDB,HyperGraphDB,Normal,Y_auto,hypergraphdb#dbdbio>|<dbengines#HyperGraphDB,Graph,Java,Custom API,Shared-Nothing,Kobrix Software,US,2007,,Open Source,Apache v2#dbdbio>|<dbengines#L-GPL,hypergraphdb#dbdbio>|<dbengines#hypergraphdb/hypergraphdb,Y,0.41,297
hypertable,hypertable,Hypertable,,X_Never,Y_auto,hypertable,Wide column,C++,"Custom API,Command-line / Shell",Shared-Disk,Zvents,US,2008,,"Commercial,Open Source",GPL v3,hypertable/hypertable,Y,,
hyrise,hyrise,Hyrise,,X_Never,Y_auto,hyrise,Relational,C++,"SQL,Stored Procedures",Shared-Everything,Hasso Plattner Institute,DE,2009,,"Academic,Open Source",MIT,hyrise/hyrise,Y,,
icecoal,icecoal,Icecoal,,X_Never,Y_auto,icecoal,Relational,Python,SQL,Embedded,,,2020,,"Hobby,Open Source",MIT,ppml38/icecoal,Y,,
icefiredb,icefiredb,IceFireDB,,X_Never,Y_auto,icefiredb,Key-value,Go,"Custom API,HTTP / REST",Shared-Nothing,Li Biao,CN,2021,,"Hobby,Open Source",Apache v2,IceFireDB/IceFireDB,Y,,
ignite,ignite,Ignite,Ignite,Normal,Y_auto,ignite#dbdbio>|<dbengines#Ignite,Key-value,Java,SQL,Shared-Nothing,Apache Foundation#dbdbio>|<dbengines#Apache Software Foundation,US,2014#dbdbio>|<dbengines#2015,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,apache/ignite,Y,5.5,78
immortaldb,immortaldb,ImmortalDB,,X_Never,Y_auto,immortaldb,Key-value,JavaScript,Custom API,Embedded,Ansgar Grunseid,US,2018,,Open Source,MIT,gruns/ImmortalDB,Y,,
immudb,immudb,Immudb,Immudb,Normal,Y_auto,immudb#dbdbio>|<dbengines#Immudb,Key-value,Go,HTTP / REST,,"Codenotary, Inc.#dbdbio>|<dbengines#Codenotary",US,2019#dbdbio>|<dbengines#2020,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,codenotary/immudb,Y,0.31,323
impala,impala,Impala,Impala,Normal,Y_auto,impala#dbdbio>|<dbengines#Impala,Relational,C++,"Custom API,SQL",Shared-Nothing,Cloudera,US,2013,2022,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2,apache/impala,Y,18.7,37
infinidb,infinidb,InfiniDB,,X_Never,Y_auto,infinidb,Relational,C++,SQL,"Shared-Nothing,Shared-Disk","InfiniDB, Inc.",US,2000,,"Commercial,Open Source",GPL v2,infinidb/infinidb,Y,,
infinispan,infinispan,Infinispan,Infinispan,Normal,Y_auto,infinispan#dbdbio>|<dbengines#Infinispan,Key-value,Java,Custom API,,RedHat,US,2009,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2,infinispan/infinispan,Y,3.76,97
infinisql,infinisql,InfiniSQL,,X_Never,Y_auto,infinisql,Relational,C++,,,Mark Travis,US,2013,,Open Source,GPL v3,infinisql/infinisql,Y,,
influxdb,influxdb,InfluxDB,InfluxDB,Normal,Y_auto,influxdb#dbdbio>|<dbengines#InfluxDB,Wide column#dbdbio>|<dbengines#Time Series,Go,"Custom API,SQL,HTTP / REST",,InfluxData,US,2013,2022,"Commercial,Open Source",MIT#dbdbio>|<dbengines#MIT-License; commercial enterprise version available,influxdata/influxdb,Y,29.44,29
iondb,iondb,IonDB,,X_Never,Y_auto,iondb,Key-value,C,Custom API,Embedded,Graeme Douglas,CA,2015,,"Academic,Open Source",BSD,iondbproject/iondb,Y,,
iotdb,iotdb,IoTDB,Apache IoTDB,Fuzzy:Normal,Y,iotdb#dbdbio>|<dbengines#Apache IoTDB,Hierarchical#dbdbio>|<dbengines#Time Series,Java,Custom API,Embedded,Tsinghua University#dbdbio>|<dbengines#Apache Software Foundation,CN,2017#dbdbio>|<dbengines#2018,,"Academic,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2.0,apache/incubator-iotdb#dbdbio>|<dbengines#apache/iotdb,Y,0.99,221
irmin,irmin,Irmin,,X_Never,Y_auto,irmin,Document,Ocaml,"Custom API,Command-line / Shell",,MirageOS,FR,2013,,Open Source,ISC License,mirage/irmin,Y,,
jackrabbit,jackrabbit,Jackrabbit,Jackrabbit,Normal,Y_auto,jackrabbit#dbdbio>|<dbengines#Jackrabbit,Object oriented#dbdbio>|<dbengines#Content,Java,,,Day Software#dbdbio>|<dbengines#Apache Software Foundation,CH,2004#dbdbio>|<dbengines#2006,,Open Source,Apache v2,apache/jackrabbit,Y,6.03,71
jaguar,jaguar,Jaguar,,X_Never,Y_auto,jaguar,"Key-value,Array",C++,"Custom API,SQL,Command-line / Shell",Shared-Nothing,Data Jaguar,US,2017,,"Commercial,Open Source",MIT,datajaguar/jaguardb,Y,,
janusgraph,janusgraph,JanusGraph,JanusGraph,Normal,Y_auto,janusgraph#dbdbio>|<dbengines#JanusGraph,Graph,Java,Gremlin,Shared-Disk,"The Linux Foundation#dbdbio>|<dbengines#Linux Foundation; originally developed as,Titan,by Aurelius",US,2012#dbdbio>|<dbengines#2017,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,JanusGraph/janusgraph,Y,2.79,117
jasdb,jasdb,JasDB,JasDB,Normal,Y_auto,jasdb#dbdbio>|<dbengines#JasDB,Document,Java,HTTP / REST,,Obera Software,NL,2013#dbdbio>|<dbengines#2014,,"Commercial,Open Source",MIT,oberasoftware/jasdb,Y,0.0,389
jena,jena,Jena,Apache Jena - TDB,Fuzzy:Normal,Y,jena#dbdbio>|<dbengines#Apache Jena - TDB,RDF,Java,"SPARQL,Datalog",,HP Labs#dbdbio>|<dbengines#Apache Software Foundation,GB,2000,,Open Source,"Apache v2#dbdbio>|<dbengines#Apache License, Version 2.0",apache/jena,Y,5.09,82
jindb,jindb,JinDB,,X_Never,Y_auto,jindb,,Rust,Custom API,Shared-Everything,Shoyo Inokuchi,JP,2019,,"Hobby,Open Source",MIT,shoyo/jindb,Y,,
jsdb,jsdb,JSDB,,X_Never,Y_auto,jsdb,Document,JavaScript,Custom API,,Small Technology Foundation,IE,2020,,"Hobby,Open Source",AGPL v3,small-tech/jsdb,Y,,
jsonstoreio,jsonstoreio,jsonstore.io,,X_Never,Y_auto,jsonstoreio,Document,JavaScript,HTTP / REST,,Eliran Pe'er,IL,2018,,Open Source,MIT,bluzi/jsonstore,Y,,
jsqldb,jsqldb,JSqlDb,,X_Never,Y_auto,jsqldb,Document,C++,,Shared-Everything,Konrad von Backström,ZA,2017,,Open Source,LGPL v3,jsqldb/jsqldb,Y,,
juliadb,juliadb,JuliaDB,,X_Never,Y_auto,juliadb,Relational,Julia,Custom API,Embedded,,US,2017,,Open Source,MIT,JuliaData/JuliaDB.jl,Y,,
justindb,justindb,JustinDB,,X_Never,Y_auto,justindb,Key-value,Scala,HTTP / REST,Shared-Nothing,Mateusz Maciaszek,PL,2015,,Open Source,Apache v2,justin-db/JustinDB,Y,,
kairosdb,kairosdb,KairosDB,KairosDB,Normal,Y_auto,kairosdb#dbdbio>|<dbengines#KairosDB,Time Series,,HTTP / REST,,KairosDB,US,2013,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,kairosdb/kairosdb,Y,1.06,210
kareldb,kareldb,KarelDB,,X_Never,Y_auto,kareldb,Relational,Java,SQL,,Confluent,US,2019,,Open Source,Apache v2,rayokota/kareldb,Y,,
kerf,kerf,Kerf,,X_Never,Y_auto,kerf,,C,"SQL,HTTP / REST",,Kevin Lawler,US,2014,,"Commercial,Open Source",,kevinlawler/kerf,Y,,
keydb,keydb,KeyDB,KeyDB,Normal,Y_auto,keydb#dbdbio>|<dbengines#KeyDB,Key-value,C++,Custom API,,EQ Alpha Technology Ltd.,CA,2019,,"Commercial,Open Source",BSD#dbdbio>|<dbengines#BSD-3,JohnSully/KeyDB#dbdbio>|<dbengines#Snapchat/KeyDB,Y,0.76,244
kingdb,kingdb,KingDB,,X_Never,Y_auto,kingdb,Key-value,,Custom API,"Shared-Everything,Embedded",Emmanuel Goossaert,NL,2012,,"Hobby,Open Source",BSD,goossaert/kingdb,Y,,
kinto,kinto,Kinto,,X_Never,Y_auto,kinto,Document,Python,HTTP / REST,,Mathieu Leplatre,ES,2014,,"Commercial,Open Source",Mozilla Public License,Kinto/kinto,Y,,
kirbybase,kirbybase,KirbyBase,,X_Never,Y_auto,kirbybase,,"Python,Ruby",,"Shared-Everything,Embedded",NetPro Technologies,US,2003,,Open Source,,weppos/kirbybase,Y,,
krati,krati,Krati,,X_Never,Y_auto,krati,Key-value,Java,,,LinkedIn,US,2010,2013,Open Source,Apache v2,jingwei/krati,Y,,
ksqldb,ksqldb,ksqlDB,,X_Never,Y_auto,ksqldb,"Relational,Key-value",Java,,,Confluent,US,2017,,"Commercial,Open Source",Proprietary,confluentinc/ksql,Y,,
kudu,kudu,Kudu,,X_Never,Y_auto,kudu,Relational,C++,,,Cloudera,US,2016,,Open Source,Apache v2,apache/kudu,Y,,
kunlun,kunlun,Kunlun,,X_Never,Y_auto,kunlun,Relational,C,,,Zetuo Technology,CN,2019,,"Hobby,Open Source",Commons Clause License,zettadb/kunlun,Y,,
kvrocks,kvrocks,Kvrocks,,X_Never,Y_auto,kvrocks,Key-value,C++,,,Meitu,CN,2019,,Open Source,BSD,KvrocksLabs/kvrocks,Y,,
kylin,kylin,Kylin,Apache Kylin,Fuzzy:Normal,Y,kylin#dbdbio>|<dbengines#Apache Kylin,Key-value#dbdbio>|<dbengines#Relational,Java,,,"eBay#dbdbio>|<dbengines#Apache Software  Foundation, originally contributed from eBay Inc",CN,2013#dbdbio>|<dbengines#2015,,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,apache/kylin,Y,1.63,164
kuzu,kuzu,Kùzu,,X_Never,Y_auto,kuzu,Graph,C++,,,University of Waterloo,CA,2020,,"Academic,Open Source",MIT,kuzudb/kuzu,Y,,
lazer,lazer,Lazer,,X_Never,Y_auto,lazer,Document,PHP,,,Grzegorz Kuznik,PL,2013,,Open Source,MIT,Greg0/Lazer-Database,Y,,
lealone,lealone,Lealone,,X_Never,Y_auto,lealone,Relational,Java,,,,CN,2012,,Open Source,"Eclipse Public License,,,Mozilla Public License",lealone/Lealone,Y,,
ledisdb,ledisdb,LedisDB,LedisDB,Normal,Y_auto,ledisdb#dbdbio>|<dbengines#LedisDB,Key-value,Go,,,Siddon Tang,CN,2014,,Open Source,MIT#dbdbio>|<dbengines#MIT-License,siddontang/ledisdb#dbdbio>|<dbengines#ledisdb/ledisdb,Y,0.19,355
lindb,lindb,LinDB,,X_Never,Y_auto,lindb,Wide column,Go,,,ELEME Inc.,CN,2019,,Open Source,Apache v2,eleme/lindb,Y,,
lineairdb,lineairdb,LineairDB,,X_Never,Y_auto,lineairdb,Key-value,C++,,,Nippon Telegraph and Telephone Corporation,JP,2020,,Open Source,Apache v2,LineairDB/LineairDB,Y,,
litedb,litedb,LiteDB,LiteDB,Normal,Y_auto,litedb#dbdbio>|<dbengines#LiteDB,Document,C#,,,Mauricio David,BR,2014,,Open Source,MIT#dbdbio>|<dbengines#MIT License,mbdavid/LiteDB,Y,1.75,155
