unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag
duckdb,duckdb,DuckDB,DuckDB,Normal,Y_auto
ductiledb,ductiledb,DuctileDB,,X_Never,Y_auto
dynomitedb,dynomitedb,DynomiteDB,,X_Never,Y_auto
earthstar,earthstar,Earthstar,,X_Never,Y_auto
easedb,easedb,EaseDB,,X_Never,Y_auto
echodb,echodb,EchoDB,,X_Never,Y_auto
edgedb,edgedb,EdgeDB,,X_Never,Y_auto
edgelessdb,edgelessdb,EdgelessDB,EdgelessDB,Normal,Y_auto
edis,edis,Edis,,X_Never,Y_auto
ehcache,ehcache,Ehcache,Ehcache,Normal,Y_auto
einsteindb,einsteindb,EinsteinDB,,X_Never,Y_auto
ejdb,ejdb,EJDB,EJDB,Normal,Y_auto
elara-db,elara-db,Elara DB,,X_Never,Y_auto
elasql,elasql,ElaSQL,,X_Never,Y_auto
elasticsearch,elasticsearch,Elasticsearch,Elasticsearch,Normal,Y_auto
elephantdb,elephantdb,ElephantDB,,X_Never,Y_auto
elevator,elevator,Elevator,,X_Never,Y_auto
eliasdb,eliasdb,EliasDB,,X_Never,Y_auto
elliptics,elliptics,Elliptics,Elliptics,Normal,Y_auto
embeddinghub,embeddinghub,Embeddinghub,,X_Never,Y_auto
engula,engula,Engula,,X_Never,Y_auto
ennodb,ennodb,EnnoDB,,X_Never,Y_auto
etcd,etcd,etcd,etcd,Normal,Y_auto
euclidesdb,euclidesdb,EuclidesDB,,X_Never,Y_auto
evcache,evcache,EVCache,,X_Never,Y_auto
event-store,event-store,Event Store,,X_Never,Y_auto
eventql,eventql,EventQL,,X_Never,Y_auto
exist-db,exist-db,eXist-db,eXist-db,Normal,Y_auto
extensible-storage-engine,extensible-storage-engine,Extensible Storage Engine,,X_Never,Y_auto
eyros,eyros,eyros,,X_Never,Y_auto
fallen-8,fallen-8,Fallen-8,,X_Never,Y_auto
faster,faster,FASTER,,X_Never,Y_auto
featurebase,featurebase,FeatureBase,FeatureBase,Normal,Y_auto
ferretdb,ferretdb,FerretDB,,X_Never,Y_auto
filedb,filedb,FileDB,,X_Never,Y_auto
filodb,filodb,FiloDB,,X_Never,Y_auto
firebird,firebird,Firebird,Firebird,Normal,Y_auto
flashdb,flashdb,FlashDB,,X_Never,Y_auto
fleetdb,fleetdb,FleetDB,,X_Never,Y_auto
flockdb,flockdb,FlockDB,FlockDB,Normal,Y_auto
fluree,fluree,Fluree,Fluree,Normal,Y_auto
fongo,fongo,Fongo,,X_Never,Y_auto
forestdb,forestdb,ForestDB,,X_Never,Y_auto
foundationdb,foundationdb,FoundationDB,FoundationDB,Normal,Y_auto
frostdb,frostdb,FrostDB,,X_Never,Y_auto
fueldb,fueldb,FuelDB,,X_Never,Y_auto
gaffer,gaffer,Gaffer,,X_Never,Y_auto
gaia,gaia,Gaia,,X_Never,Y_auto
genji,genji,Genji,,X_Never,Y_auto
ghostdb,ghostdb,GhostDB,,X_Never,Y_auto
