unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag
,,,Giraph,Y_Never,Y_auto
,,,mSQL,Y_Never,Y_auto
,,,GT.M,Y_Never,Y_auto
,,,openGauss,Y_Never,Y_auto
,,,Perst,Y_Never,Y_auto
,,,Matisse,Y_Never,Y_auto
,,,EventStoreDB,Y_Never,Y_auto
,,,RDF4J,Y_Never,Y_auto
,,,Xapian,Y_Never,Y_auto
,,,Sedna,Y_Never,Y_auto
,,,Graph Engine,Y_Never,Y_auto
,,,SciDB,Y_Never,Y_auto
,,,GeoMesa,Y_Never,Y_auto
,,,Tajo,Y_Never,Y_auto
,,,Rasdaman,Y_Never,Y_auto
,,,Postgres-XL,Y_Never,Y_auto
,,,Strabon,Y_Never,Y_auto
,,,Elassandra,Y_Never,Y_auto
,,,atoti,Y_Never,Y_auto
,,,OpenQM,Y_Never,Y_auto
,,,Tokyo Tyrant,Y_Never,Y_auto
,,,Redland,Y_Never,Y_auto
,,,HugeGraph,Y_Never,Y_auto
,,,Typesense,Y_Never,Y_auto
,,,TinkerGraph,Y_Never,Y_auto
,,,CubicWeb,Y_Never,Y_auto
,,,Speedb,Y_Never,Y_auto
,,,STSdb,Y_Never,Y_auto
,,,NEventStore,Y_Never,Y_auto
,,,SiteWhere,Y_Never,Y_auto
,,,Acebase,Y_Never,Y_auto
,,,Dydra,Y_Never,Y_auto
,,,HyperLevelDB,Y_Never,Y_auto
,,,iBoxDB,Y_Never,Y_auto
,,,RaptorDB,Y_Never,Y_auto
,,,H2GIS,Y_Never,Y_auto
,,,Hawkular Metrics,Y_Never,Y_auto
,,,Siaqodb,Y_Never,Y_auto
,,,Qdrant,Y_Never,Y_auto
,,,HGraphDB,Y_Never,Y_auto
,,,Badger,Y_Never,Y_auto
,,,Kyoto Tycoon,Y_Never,Y_auto
,,,SmallSQL,Y_Never,Y_auto
,,,Resin Cache,Y_Never,Y_auto
,,,BergDB,Y_Never,Y_auto
,,,Cachelot.io,Y_Never,Y_auto
,,,JaguarDB,Y_Never,Y_auto
,,,Newts,Y_Never,Y_auto
,,,NSDb,Y_Never,Y_auto
,,,Tkrzw,Y_Never,Y_auto
,,,Transwarp StellarDB,Y_Never,Y_auto
