DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_May-2023,Rank_May-2023
akumuli,akumuli,,X_Single,Y_auto,Akumuli,,C++,Custom API,,,RU,2013,,Open Source,Apache v2,akumuli/Akumuli,Y,,
akutan,akutan,,X_Single,Y_auto,Akutan,RDF,Go,Custom API,Shared-Nothing,eBay,US,2019,,"Industrial Research,Open Source",Apache v2,eBay/akutan,Y,,
alasql,alasql,alasql,Normal,Y_auto,AlaSQL,"Relational,Document#dbdbio>|<dbengines#Document",JavaScript,SQL,,Andrey Gershun#dbdbio>|<dbengines#Andrey Gershun & Mathias R. Wulff,RU,2014,,Open Source,MIT#dbdbio>|<dbengines#MIT-License,agershun/alasql#dbdbio>|<dbengines#AlaSQL/alasql,Y,0.85,248
alchemydb,alchemydb,,X_Single,Y_auto,AlchemyDB,Relational,C,SQL,Shared-Everything,Russell Sullivan,US,2010,2012,"Commercial,Open Source",AGPL v3,JakSprats/Alchemy-Database,Y,,
alenka,alenka,,X_Single,Y_auto,Alenka,Relational,C,SQL,,,US,2012,2017,Open Source,Apache v2,antonmks/Alenka,Y,,
altibase,altibase,altibase,Normal,Y_auto,Altibase,Relational,"C,C++",SQL,Shared-Nothing,Altibase Corp.#dbdbio>|<dbengines#Altibase,KR,1999,2021,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#Open source edition discontinued with March 2023,ALTIBASE/altibase,Y#dbdbio>|<dbengines#N,1.76,171
angstromdb,angstromdb,,X_Single,Y_auto,AngstromDB,Key-value,C,,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",Apache v2,Amaury/AngstromDB,Y,,
annadb,annadb,,X_Single,Y_auto,AnnaDB,Document,Rust,Custom API,Shared-Everything,Roman Right,DE,2021,,"Hobby,Open Source",Apache v2,Anna-Team/AnnaDB,Y,,
antdb,antdb,antdb,Normal,Y_auto,AntDB,"Object oriented,Relational#dbdbio>|<dbengines#Relational",C,SQL,,AsiaInfo#dbdbio>|<dbengines#AsiaInfo Technologies Limited,CN,,,"Commercial,Open Source","Apache v2#dbdbio>|<dbengines#community version available at,github.com/ADBSQL/AntDB",ADBSQL/AntDB,Y#dbdbio>|<dbengines#N,0.26,357
antidote,antidote,,X_Single,Y_auto,Antidote,Key-value,Erlang,SQL,,SyncFree European Project,FR,2015,,"Academic,Open Source",Apache v2,AntidoteDB/antidote,Y,,
